Block_Index,Block_Len,Next_Jump_Size
0,5,53
1,2,2660
2,1,13575012
3,11,60
4,6,74
5,11,81
6,2,494364
7,5,494369
8,6,162
9,23,81
10,2,494364
11,5,494369
12,6,162
13,11,60
14,6,74
15,11,81
16,2,494364
17,5,494369
18,6,162
19,23,81
20,2,494364
21,5,494369
22,6,1774190
23,4,1632139
24,8,790413
25,3,2868
26,8,9
27,34,9
28,7,2695
29,2,790408
30,9,1632105
31,2,11760959
32,1,32
33,4,40
34,1,32
35,4,40
36,1,32
37,4,40
38,1,32
39,4,40
40,1,32
41,4,13040856
42,5,377725
43,3,2455404
44,11,9
45,5,247
46,2,9
47,1,254
48,1,10961339
49,5,702170
50,16,9
51,4,17
52,3,12
53,7,11
54,1,12438028
55,12,12
56,2,2178643
57,2,491
58,23,10931
59,55,111
60,3,121
61,10,10717
62,2,112
63,2,9
64,1,254
65,1,10961339
66,5,702170
67,16,9
68,3,11057675
69,4,1632139
70,8,790413
71,3,2868
72,8,9
73,34,9
74,7,2695
75,2,790408
76,9,1632105
77,2,11797608
78,6,14
79,4,13517930
80,1,225
81,3,41798
82,3,9
83,9,41762
84,3,41699
85,3,9
86,9,41662
87,2,66
88,11,827619
89,15,12713341
90,18,12713385
91,4,12712991
92,11,12713024
93,8,827701
94,7,828427
95,18,43
96,2,12713170
97,11,12713195
98,27,764864
99,14,9
100,14,586766
101,6,91
102,1,586878
103,2,13477526
104,6,13477539
105,3,25460
106,8,13502958
107,6,13502971
108,4,25437
109,5,9
110,2,33
111,10,379
112,1,9
113,1,9
114,1,11
115,6,265
116,3,262
117,5,35199
118,11,33
119,5,35121
120,5,19907
121,16,43593
122,8,790413
123,3,2868
124,8,9
125,34,9
126,7,2695
127,2,790408
128,9,43627
129,26,19730
130,5,3813
131,16,15404
132,14,129
133,3,102
134,4,12
135,6,156
136,1,67
137,6,235208
138,13,21
139,4,4960
140,16,16
141,9,4881
142,2,192648
143,8,790413
144,3,2868
145,8,9
146,34,9
147,7,2695
148,2,790408
149,9,192614
150,4,176
151,2,175
152,2,79
153,7,89
154,12,3145
155,28,15
156,2,15
157,5,561
158,2,560
159,9,43
160,10,39
161,14,39
162,19,86
163,10,66
164,4,54
165,5,49
166,4,59
167,4,183
168,6,177
169,7,59
170,2,275
171,3,242
172,5,59
173,15,190
174,3,207
175,9,148
176,5,209
177,11,247
178,3,275
179,25,18
180,14,2595
181,6,82
182,15,3145
183,28,15
184,2,15
185,5,561
186,2,560
187,9,43
188,10,39
189,14,39
190,19,86
191,10,66
192,4,54
193,5,49
194,4,59
195,4,183
196,6,177
197,7,59
198,2,275
199,3,242
200,5,59
201,15,190
202,3,207
203,9,148
204,5,209
205,11,247
206,3,275
207,25,18
208,14,2595
209,6,82
210,15,3145
211,28,15
212,2,15
213,5,561
214,2,560
215,9,43
216,10,39
217,14,39
218,19,86
219,10,66
220,4,54
221,5,49
222,4,59
223,4,183
224,6,177
225,7,59
226,2,275
227,3,242
228,5,59
229,15,190
230,3,207
231,9,148
232,5,209
233,11,247
234,3,275
235,25,18
236,14,2595
237,6,82
238,5,83
239,7,3217
240,28,15
241,2,15
242,14,43
243,10,39
244,14,39
245,19,86
246,10,66
247,4,54
248,5,49
249,4,59
250,4,183
251,6,177
252,7,59
253,2,275
254,3,242
255,5,59
256,15,190
257,3,207
258,9,148
259,5,209
260,14,247
261,5,283
262,18,73
263,5,66
264,2,352
265,11,402
266,5,18
267,14,2667
268,8,235447
269,1,235
270,7,98500
271,40,20
272,5,1374
273,13,14062
274,15,69
275,6,13936
276,4,25726
277,21,9
278,3,1134
279,4,121304
280,18,9
281,39,14
282,2,157
283,9,121726
284,1,1142
285,6,124099
286,38,85
287,20,14
288,2,154
289,9,124275
290,4,12
291,1,9
292,1,12
293,10,25532
294,3,12
295,6,49643
296,11,49616
297,6,494
298,3,5837254
299,6,34
300,6,5837313
301,3,509
302,2,5835602
303,5,518
304,4,89
305,3,391
306,1,5835843
307,3,9
308,3,473
309,23,569
310,8,13411
311,4,152
312,1,13249
313,6,49877
314,8,52
315,2,13
316,3,49811
317,8,1147
318,9,70
319,8,1374
320,13,14062
321,15,69
322,6,13936
323,4,25726
324,21,9
325,3,1134
326,4,121304
327,58,14
328,2,157
329,9,121726
330,1,1142
331,6,124099
332,38,85
333,20,14
334,2,154
335,9,124275
336,7,9
337,1,12
338,10,25532
339,11,49643
340,11,49616
341,6,494
342,3,5837254
343,6,34
344,4,22
345,2,12
346,2,5837281
347,3,509
348,2,5835602
349,5,518
350,6,166
351,2,160
352,5,5836168
353,3,9
354,6,11
355,3,13411
356,13,18
357,20,430
358,8,25
359,35,15
360,2,209
361,2,13268
362,6,49877
363,8,52
364,10,49779
365,8,1147
366,13,109
367,15,49
368,3,170
369,2,44520
370,3,44518
371,8,99133
372,7,15336
373,3,470
374,12,221
375,3,11
376,7,246
377,16,59807
378,13,20
379,3,181
380,5,978
381,15,2501
382,21,9
383,3,1134
384,4,121304
385,18,9
386,7,320
387,9,121726
388,1,1142
389,6,124099
390,16,18
391,7,81
392,9,124275
393,4,12
394,1,9
395,1,12
396,10,2307
397,28,11
398,4,11
399,4,31513
400,8,790413
401,3,2868
402,8,9
403,34,9
404,7,2695
405,2,790408
406,9,31479
407,4,74
408,2,1196
409,10,121
410,3,84
411,6,1892
412,21,9
413,3,1134
414,4,121304
415,26,320
416,9,121726
417,1,1142
418,6,124099
419,27,81
420,9,124275
421,6,50
422,1,11
423,3,11
424,16,1041
425,2,1034
426,17,934
427,2,928
428,6,11
429,4,776
430,3,33
431,4,807
432,27,850
433,2,844
434,5,9
435,1,12
436,4,786
437,8,819
438,3,11
439,1,531
440,8,1698
441,5,64
442,3,368
443,4,596
444,8,600
445,1,186
446,3,11
447,8,89
448,7,60044
449,14,95571
450,9,36
451,4,95631
452,14,229
453,1,9
454,6,22075
455,8,22061
456,6,22378
457,8,13502958
458,6,13502971
459,4,22355
460,1,9
461,4,34
462,11,15962
463,12,187
464,1,580
465,16,43593
466,8,790413
467,3,2868
468,8,9
469,34,9
470,7,2695
471,2,790408
472,9,43627
473,26,403
474,1,186
475,5,232
476,5,250
477,1,168
478,7,18
479,3,235586
480,13,21
481,4,4960
482,16,16
483,9,4881
484,2,192648
485,8,790413
486,3,2868
487,8,9
488,34,9
489,7,2695
490,2,790408
491,9,192614
492,6,79
493,7,89
494,12,3145
495,28,15
496,2,15
497,2,15
498,9,105
499,12,19
500,4,50
501,8,19
502,4,50
503,21,49
504,4,59
505,4,183
506,6,177
507,7,59
508,2,275
509,3,242
510,5,59
511,15,190
512,3,207
513,9,148
514,5,209
515,14,247
516,6,300
517,23,73
518,5,66
519,7,18
520,14,2595
521,6,82
522,15,3145
523,28,15
524,2,15
525,2,15
526,9,105
527,12,19
528,4,50
529,8,19
530,4,50
531,21,49
532,4,59
533,4,183
534,6,177
535,7,59
536,2,275
537,3,242
538,5,59
539,15,190
540,3,207
541,9,148
542,5,209
543,14,247
544,6,300
545,23,73
546,5,66
547,7,18
548,14,2595
549,6,82
550,15,3145
551,28,15
552,2,15
553,2,15
554,9,105
555,12,19
556,4,50
557,8,19
558,4,50
559,21,49
560,4,59
561,4,183
562,6,177
563,7,59
564,2,275
565,3,242
566,5,59
567,15,190
568,3,207
569,9,148
570,5,209
571,14,247
572,6,300
573,23,73
574,5,66
575,7,18
576,14,2595
577,6,82
578,5,83
579,7,3217
580,28,15
581,2,15
582,2,15
583,10,105
584,12,19
585,4,50
586,8,19
587,4,50
588,21,49
589,4,59
590,4,183
591,6,177
592,7,59
593,2,275
594,3,242
595,5,59
596,15,190
597,3,207
598,9,148
599,5,209
600,14,247
601,5,283
602,18,73
603,5,66
604,2,352
605,11,402
606,5,18
607,14,2667
608,8,235825
609,1,216
610,7,102671
611,27,9
612,5,66
613,3,64
614,4,1483
615,19,151
616,2,17900
617,15,69
618,6,17774
619,7,158
620,4,29433
621,21,9
622,1,12
623,6,124099
624,16,18
625,20,284
626,5,564
627,1,12
628,3,12
629,1,12
630,1,463
631,2,324
632,2,21
633,2,14
634,25,124512
635,4,12
636,1,9
637,3,1147
638,3,3836
639,62,12
640,10,3518
641,1,11
642,1,618
643,3,29519
644,8,790413
645,3,2868
646,8,9
647,34,9
648,7,2695
649,2,790408
650,9,29485
651,19,654
652,8,29239
653,3,12
654,2,16999
655,4,152
656,1,16837
657,3,9
658,2,678
659,23,783
660,14,70
661,17,387
662,6,345
663,3,5833008
664,3,193
665,2,5833209
666,3,236
667,5,206
668,2,12
669,9,390
670,10,398
671,4,175
672,8,1032
673,13,64
674,4,1483
675,19,151
676,2,17900
677,26,303
678,4,34311
679,12,9
680,14,167
681,3,87
682,12,294
683,32,9
684,9,34079
685,1,313
686,3,35738
687,14,45
688,7,35640
689,9,17774
690,4,143
691,4,29433
692,21,9
693,3,1134
694,4,121304
695,37,320
696,2,18
697,9,391
698,28,394
699,2,456
700,2,21
701,2,14
702,10,9
703,16,15
704,10,121705
705,1,1142
706,6,124099
707,38,85
708,5,372
709,5,168
710,24,166
711,17,160
712,4,426
713,40,124512
714,6,50
715,1,11
716,3,11
717,14,1050
718,2,1034
719,15,943
720,2,928
721,6,11
722,33,859
723,2,844
724,5,9
725,1,12
726,4,786
727,8,819
728,3,11
729,1,531
730,8,29239
731,7,16999
732,37,430
733,8,25
734,35,15
735,2,209
736,2,16856
737,3,9
738,6,536
739,4,35927
740,11,68
741,7,55
742,12,35844
743,1,543
744,2,10
745,7,70
746,17,387
747,6,345
748,3,5833008
749,3,193
750,2,5833209
751,12,1032
752,10,108
753,6,862
754,6,879
755,3,28
756,6,48093
757,3,48091
758,8,103069
759,9,15869
760,5,1823
761,9,54
762,2,79156
763,35,15
764,2,34
765,3,18
766,32,10009
767,19,57
768,6,9883
769,9,361
770,4,44330
771,12,9
772,14,167
773,3,87
774,12,294
775,32,9
776,9,44098
777,5,386
778,7,29615
779,3,43
780,3,44
781,11,85
782,1,29486
783,4,86413
784,22,519229
785,10,32587
786,18,814
787,16,53027
788,5,53030
789,3,766
790,5,32658
791,3,519188
792,3,86335
