TS,SKT,CPU,CID,CPU operating frequency (in GHz),CPU utilization %,CPU utilization % in kernel mode,CPI,kernel_CPI,IPC,giga_instructions_per_sec,branch misprediction ratio,locks retired per instr,L1D MPI (includes data+rfo w/ prefetches),L1D demand data read hits per instr,L1-I code read misses (w/ prefetches) per instr,L2 demand data read hits per instr,L2 MPI (includes code+data+rfo w/ prefetches),L2 demand data read MPI,L2 demand code MPI,LLC code read MPI (demand+prefetch),LLC data read MPI (demand+prefetch),Average LLC demand data read miss latency (in ns),Average LLC demand data read miss latency for LOCAL requests (in ns),Average LLC demand data read miss latency for REMOTE requests (in ns),package power (watts),DRAM power (watts),core c6 residency %,package c6 residency %,% Uops delivered from decoded Icache (DSB),% Uops delivered from legacy decode pipeline (MITE),memory bandwidth read (MB/sec),memory bandwidth write (MB/sec),memory bandwidth total (MB/sec),ITLB (2nd level) MPI,DTLB (2nd level) load MPI,DTLB (2nd level) store MPI,NUMA %_Reads addressed to local DRAM,NUMA %_Reads addressed to remote DRAM,uncore frequency GHz,IO_bandwidth_disk_or_network_reads (MB/sec),IO_bandwidth_disk_or_network_writes (MB/sec),TMA_Frontend_Bound(%),TMA_..Fetch_Latency(%),TMA_....ICache_Misses(%),TMA_....ITLB_Misses(%),TMA_....Branch_Resteers(%),TMA_....MS_Switches(%),TMA_....LCP(%),TMA_....DSB_Switches(%),TMA_..Fetch_Bandwidth(%),TMA_....MITE(%),TMA_....DSB(%),TMA_....MS(%),TMA_Bad_Speculation(%),TMA_..Branch_Mispredicts(%),TMA_....Other_Mispredicts(%),TMA_..Machine_Clears(%),TMA_....Other_Nukes(%),TMA_Backend_Bound(%),TMA_..Memory_Bound(%),TMA_....L1_Bound(%),TMA_......DTLB_Load(%),TMA_......Store_Fwd_Blk(%),TMA_......L1_Latency_Dependency(%),TMA_......Lock_Latency(%),TMA_......Split_Loads(%),TMA_......FB_Full(%),TMA_....L2_Bound(%),TMA_....L3_Bound(%),TMA_......Contested_Accesses(%),TMA_......Data_Sharing(%),TMA_......L3_Hit_Latency(%),TMA_......SQ_Full(%),TMA_....DRAM_Bound(%),TMA_......MEM_Bandwidth(%),TMA_......MEM_Latency(%),TMA_....Store_Bound(%),TMA_......Store_Latency(%),TMA_......False_Sharing(%),TMA_......Split_Stores(%),TMA_......Streaming_Stores(%),TMA_......DTLB_Store(%),TMA_..Core_Bound(%),TMA_....Divider(%),TMA_....Serializing_Operation(%),TMA_....AMX_Busy(%),TMA_....Ports_Utilization(%),TMA_Retiring(%),TMA_..Light_Operations(%),TMA_....FP_Arith(%),TMA_....Int_Operations(%),TMA_....Memory_Operations(%),TMA_....Fused_Instructions(%),TMA_....Non_Fused_Branches(%),TMA_....Other_Light_Ops(%),TMA_..Heavy_Operations(%),TMA_....Few_Uops_Instructions(%),TMA_....Microcode_Sequencer(%)
1761733747,,,,2.7956558,98.96644,25.051476,1.4423561,3.9821963,0.69331005,107.4205,0.034814652,0.00058078882,0.0098569166,0.30893739,0.042847454,0.00381964,0.028227176,0.0010397892,0.024000926,5.9618549e-06,0.0030551158,37.062777,28.846436,+Inf,186.88608,11.89805,0,0,31.536111,67.089389,19147.165,6732.3023,25879.468,0.0017251904,0.00025729322,3.1895249e-05,100,0,5.8754278,3.81938,3.6062373,54.073597,41.83514,17.386619,6.4529573,26.143062,0,0.0078057512,4.0421586,12.238458,12.175957,2.2738947,0.51540074,12.853929,11.582932,6.2885829,0.97669659,1.0086108,12.277018,9.8241555,13.986978,7.0579153,0.038073799,8.5720873,0.04552217,0.017256483,0.21248366,1.2902334,16.603495,4.1634684,1.2518078,2.6944461,0.41712951,6.7802184,100,-16.702697,0.27869893,11.804104,2.7155563,0.041399149,0,14.009777,2.4528627,1.7832793,0.5289545,0,14.046705,22.591762,20.71742,0.00058199351,0.0033717422,9.8010852,1.9542701,1.8750618,8.0535091,1.8743418,1.8588993,0
1761733752,,,,2.7521036,98.085813,23.390388,1.4183294,4.0686974,0.70505483,106.58152,0.034891072,0.00053075549,0.0096770765,0.30953677,0.041640558,0.0037898456,0.027820655,0.0011617877,0.023751795,6.4198412e-06,0.0031728719,37.64542,30.68786,+Inf,184.40961,11.757713,0,0,32.151446,66.452561,19043.5,6654.5305,25698.031,0.0015958827,0.0002268841,2.9962556e-05,100,0,5.76166,3.6917526,3.4950713,53.034779,40.98579,16.933461,6.3327425,25.477675,0,0.0076340247,4.1171058,12.048989,11.873036,2.2555793,0.51193622,12.53173,11.747341,3.6267525,0.9038065,1.06106,9.5695016,7.2026278,14.010345,6.8255438,0.034524759,8.4071938,0.044836845,0.023110491,0.19623209,1.3320785,15.431618,4.1081878,1.190779,2.4446722,0.26013452,6.5440364,100,-16.552052,0.29507352,12.070227,2.603892,0.040738402,0,14.094883,2.3668738,1.7340683,0.50017373,0,13.296871,22.823202,20.94586,0.00088664625,0.0028870326,9.5919718,1.9044222,1.8528144,5.8615525,1.8773419,1.8035703,0
1761733757,,,,2.7477871,98.553381,23.467459,1.4664781,4.0852734,0.68190584,103.41107,0.035846429,0.00052836228,0.010126663,0.31001842,0.04241241,0.0037037832,0.028175629,0.001123414,0.023353839,5.9826936e-06,0.0030112019,37.449772,27.037597,+Inf,184.63669,11.744626,0,0,31.685108,66.893921,19046.844,6647.5917,25694.436,0.0015810451,0.00025112719,3.2095274e-05,100,0,5.7753229,3.6201336,3.6468833,55.643986,43.743328,16.60983,6.5653594,26.232388,0,0.0077029041,4.0953818,11.900657,11.959699,2.2985497,0.51229296,12.815769,11.689306,0.01,1.0830803,1.0478697,10.302312,8.0182429,13.749849,7.4620504,0.038510971,8.9167706,0.046521904,0.020787638,0.20036367,1.279832,16.465459,3.964233,1.1740299,2.6170169,0.95252665,6.6989133,100,-16.952278,0.30296481,12.384656,2.4479931,0.040639993,0,14.85136,2.2840691,1.6847038,0.54386858,0,13.368425,22.02832,20.312335,0.00066993789,0.0031603525,10.333292,1.9057232,1.8384267,6.5932713,1.7159853,1.6718481,0
1761733762,,,,2.7077208,98.675806,23.476487,1.4032862,3.7948283,0.71261298,106.62433,0.033280471,0.00056345459,0.010068989,0.30769498,0.042393705,0.0039416529,0.028604287,0.0012336439,0.02370144,6.3751481e-06,0.0031925774,37.207247,28.736028,+Inf,183.92585,11.674656,0,0,32.575973,66.044799,18869.176,6583.4413,25452.617,0.0016633199,0.0002583968,3.2825336e-05,100,0,5.7349618,3.7480199,3.4349133,51.620962,39.740372,16.785478,6.4715534,25.214691,0,0.0079702289,4.0799701,11.88059,12.117368,2.1047265,0.53028301,12.661666,11.446213,4.5081217,0.95765079,1.0599896,14.473684,12.093569,13.099148,7.1137855,0.038585863,8.8791571,0.044646932,0.019509325,0.16785343,1.2961169,16.935829,3.9738864,1.1275236,2.6376245,0.27663098,5.4483139,100,-17.307579,0.29399632,11.677735,2.6879018,0.040367872,0,14.92359,2.3801156,1.7212505,0.54716966,0,13.916585,22.977726,21.263882,0.00061148525,0.0030991998,10.268178,1.9484194,1.8661452,7.2132355,1.7138447,1.7793851,0
1761733767,,,,2.7094971,98.239328,23.539258,1.3746206,3.8209291,0.72747348,108.43744,0.032186027,0.00055149481,0.010009534,0.30667794,0.040050473,0.00387522,0.026310627,0.0012138536,0.02300483,6.1309589e-06,0.0029284004,37.456174,28.984338,+Inf,184.8436,11.651058,0,0,31.603474,66.990232,18826.636,6591.7644,25418.4,0.0017406347,0.00024900009,3.1591115e-05,100,0,5.7686657,3.9143511,3.8390174,50.453448,38.510803,17.158382,6.4710725,24.056617,0,0.0078344774,4.096087,11.942645,11.913748,2.1566635,0.5128877,12.238949,11.178746,6.6027253,0.88177044,1.0177437,13.75911,11.423985,13.113558,6.8684027,0.037428032,8.4730166,0.043917774,0.02125579,0.20044988,1.2927322,16.271985,4.1415758,1.204954,2.8982654,0.24356902,6.3411973,100,-15.350064,0.29242168,11.436004,2.8139941,0.039651343,0,14.677108,2.3351252,1.7906586,0.56085568,0,13.88292,23.468786,21.673949,0.0006139646,0.0029508342,9.6434324,1.9246344,1.8466053,7.9856271,1.7948368,1.7887186,0
1761733772,,,,2.774369,98.438976,23.451236,1.4307125,4.0269632,0.69895244,106.89736,0.034414717,0.0005321689,0.010387867,0.30794174,0.041363235,0.0038748237,0.027540678,0.0012419682,0.023627061,7.1525603e-06,0.0030165767,37.658938,31.569478,+Inf,184.582,11.675482,0,0,31.827133,66.771448,18992.474,6595.3298,25587.803,0.001549543,0.00022279381,2.9782919e-05,100,0,5.7594794,3.6250567,3.6192765,52.816046,40.536355,16.495083,6.5383849,25.036899,0,0.0076385066,4.0858036,12.279691,11.812947,2.2651154,0.52194239,12.644862,11.508751,70.99381,1.0902421,0.93014147,12.173412,9.7205901,12.929529,6.5696669,0.03589271,8.5239471,0.045712621,0.023009339,0.21419091,1.2996862,15.912972,4.26773,1.2612692,2.6254308,0.4215156,7.7124726,100,-16.563259,0.28362239,12.002836,2.5909487,0.041486977,0,13.950486,2.4528224,1.6895306,0.58996572,0,13.692843,22.666426,20.870841,0.00059941222,0.0034450709,9.7652251,1.7956197,1.7649288,7.8720953,1.7955844,1.7852052,0
1761733777,,,,2.748308,98.633654,23.585006,1.4411661,4.0022917,0.69388252,105.33301,0.035754338,0.0005375238,0.010065789,0.31003023,0.043760643,0.0037536652,0.029327568,0.0010743976,0.024726205,7.122852e-06,0.0032838637,37.803499,29.037733,+Inf,183.89347,11.731857,0,0,32.068714,66.528057,19296.09,6657.2912,25953.381,0.0016900134,0.00024983006,3.1089767e-05,100,0,5.7290662,3.8569237,3.4772937,52.70576,40.959095,16.914814,6.5301983,26.135797,0,0.0077191796,4.0173959,11.746664,11.570591,2.2258639,0.50669635,13.318456,11.971378,5.1832546,0.98696322,1.1252251,11.399031,8.9694146,12.217558,6.9504138,0.03745042,8.566344,0.04505446,0.023343116,0.15612639,1.2925442,16.846517,4.0546563,1.1851196,2.6818235,0.22649083,5.0938748,100,-14.938056,0.29686082,11.686434,2.6069641,0.043416419,0,14.835592,2.4296167,1.7378563,0.60737678,0,13.933619,22.424905,20.628396,0.00065607026,0.0028027688,9.8559818,2.0585112,1.9328535,6.9049659,1.7965092,1.7605262,0
1761733782,,,,2.7084954,98.6543,23.412381,1.4057524,3.8867283,0.71136284,106.44452,0.033363917,0.00055191309,0.01016361,0.30727563,0.040517727,0.0038235622,0.02627448,0.0010856779,0.023018339,6.1130488e-06,0.0031138714,37.372181,28.182124,+Inf,185.03482,11.705948,0,0,31.68936,66.901104,18953.631,6604.3231,25557.954,0.0016234327,0.00024757501,3.1100149e-05,100,0,5.7706037,3.7193745,3.5132502,51.758767,39.398688,16.637124,6.6073921,24.774833,0,0.0078200448,4.0271397,12.360079,11.661413,2.2049224,0.52286593,12.512022,11.476994,0.01,1.2392514,0.83452382,12.748281,10.537211,11.524957,6.5496817,0.034504465,8.3688432,0.0476277,0.016836371,0.1971179,1.2654466,17.690206,3.9492722,1.1456703,2.6961288,1.0594898,6.5734433,100,-16.409349,0.29766434,12.338496,2.6679141,0.040168229,0,15.238404,2.2110699,1.7030094,0.64490074,0,13.809281,22.853105,21.028555,0.00063762877,0.0031266525,9.5833641,1.8733967,1.8010011,6.7420669,1.8245498,1.7755543,0
1761733787,,,,2.7620431,98.130419,23.491214,1.4793999,4.1172272,0.67594977,102.59745,0.037455164,0.00052673697,0.010059073,0.3110195,0.042609213,0.0037755044,0.028020346,0.001026564,0.023508944,6.4412722e-06,0.0032565379,37.933024,29.960905,+Inf,183.81385,11.712291,8.5082292e-05,0,31.716487,66.85881,19205.647,6582.372,25788.019,0.0015279909,0.00023952128,2.9328134e-05,100,0,5.7655159,3.601336,3.8298829,56.006818,44.174424,16.401789,6.6480777,26.557687,0,0.007630286,4.0114329,11.832394,12.06693,2.1496976,0.53115905,12.781959,12.175489,20.265005,1.0100146,0.74468366,9.8192759,7.5006356,12.610529,7.092326,0.036023515,8.5025709,0.049415694,0.023653357,0.19798045,1.296879,16.686379,4.1474728,1.2146811,2.5408372,1.0879465,7.0375916,100,-16.744208,0.29465926,12.561951,2.520799,0.03960288,0,15.165828,2.3186403,1.6591427,0.60444075,0,13.260693,21.722372,19.931107,0.00063353786,0.0030555107,9.8553913,1.9012513,1.8301326,7.8940332,1.7912652,1.8324124,0
1761733792,,,,2.7197465,98.344841,23.493055,1.4295629,4.2129235,0.6995145,104.77671,0.034819372,0.00052016283,0.0098755372,0.30897876,0.042783629,0.0037641976,0.028241441,0.0010807628,0.024200176,6.0580556e-06,0.0031461595,37.573437,30.664315,+Inf,185.02069,11.691348,0,0,31.661982,66.938018,18846.24,6542.6073,25388.847,0.0016490165,0.00024657553,3.1704903e-05,100,0,5.7864655,3.7287997,3.5760274,55.41279,43.407351,16.820454,6.5534371,26.274269,0,0.0077479957,3.9874018,12.005439,11.567665,2.1572469,0.52150673,13.052495,11.801639,778.43138,0.66373543,0.61486772,9.4302036,7.409556,12.116566,6.9686937,0.036778553,8.5479229,0.045375609,0.023878926,0.20353977,1.3072798,17.130535,3.9615206,1.1425341,2.6685995,1.3009795,6.8838563,100,-18.950607,0.27997399,12.912145,2.5268355,0.040761292,0,14.022763,2.0206475,1.721388,0.62395378,0,13.3946,22.5313,20.737909,0.00057674626,0.0028471459,9.8699277,1.9840334,1.881618,7.7323661,1.793391,1.7600336,0
