metric,mean,min,max,stddev
CPU operating frequency (in GHz),2.744650,2.646369,2.915031,0.050164
CPU utilization %,98.481441,98.085813,98.966440,0.198959
CPU utilization % in kernel mode,23.517797,22.630694,25.051476,0.365166
CPI,1.433696,1.374305,1.500657,0.034192
kernel_CPI,3.976885,3.719331,4.212923,0.123623
IPC,0.697896,0.666375,0.727640,0.016678
giga_instructions_per_sec,105.614529,101.841700,110.787590,2.271880
branch misprediction ratio,0.034544,0.031358,0.037850,0.001510
locks retired per instr,0.000547,0.000520,0.000644,0.000024
L1D MPI (includes data+rfo w/ prefetches),0.010172,0.009677,0.010962,0.000301
L1D demand data read hits per instr,0.308580,0.305542,0.311020,0.001255
L1-I code read misses (w/ prefetches) per instr,0.041541,0.038780,0.043761,0.001147
L2 demand data read hits per instr,0.003796,0.003633,0.003942,0.000069
L2 MPI (includes code+data+rfo w/ prefetches),0.027531,0.025600,0.029328,0.000965
L2 demand data read MPI,0.001170,0.001011,0.001445,0.000107
L2 demand code MPI,0.023419,0.022072,0.024726,0.000681
LLC code read MPI (demand+prefetch),0.000006,0.000006,0.000007,0.000000
LLC data read MPI (demand+prefetch),0.003166,0.002928,0.003505,0.000133
Average LLC demand data read miss latency (in ns),37.529467,36.986058,37.933024,0.228487
Average LLC demand data read miss latency for LOCAL requests (in ns),28.718863,26.092456,31.569478,1.560374
Average LLC demand data read miss latency for REMOTE requests (in ns),NaN,NaN,NaN,NaN
package power (watts),184.520228,183.813850,186.886080,0.566604
DRAM power (watts),11.785081,11.651058,11.898050,0.068215
core c6 residency %,0.000021,0.000000,0.000268,0.000060
package c6 residency %,0.000000,0.000000,0.000000,0.000000
% Uops delivered from decoded Icache (DSB),32.039116,30.903499,33.159637,0.586021
% Uops delivered from legacy decode pipeline (MITE),66.567085,65.479019,67.699537,0.574494
memory bandwidth read (MB/sec),19243.017300,18814.834000,19734.974000,256.339761
memory bandwidth write (MB/sec),6598.748920,6505.992900,6732.302300,46.279683
memory bandwidth total (MB/sec),25841.766233,25351.385000,26346.447000,269.697897
ITLB (2nd level) MPI,0.001652,0.001528,0.001775,0.000066
DTLB (2nd level) load MPI,0.000252,0.000223,0.000274,0.000013
DTLB (2nd level) store MPI,0.000031,0.000029,0.000033,0.000001
NUMA %_Reads addressed to local DRAM,100.000000,100.000000,100.000000,0.000000
NUMA %_Reads addressed to remote DRAM,0.000000,0.000000,0.000000,0.000000
uncore frequency GHz,5.764036,5.729066,5.875428,0.025972
IO_bandwidth_disk_or_network_reads (MB/sec),3.730716,3.601336,3.914351,0.080753
IO_bandwidth_disk_or_network_writes (MB/sec),3.580294,3.296813,4.182514,0.214717
TMA_Frontend_Bound(%),52.862644,49.818710,56.006818,1.668913
TMA_..Fetch_Latency(%),40.843902,36.504194,44.174424,1.787378
TMA_....ICache_Misses(%),16.749932,15.844060,17.386619,0.332850
TMA_....ITLB_Misses(%),6.488771,6.224726,6.690700,0.114354
TMA_....Branch_Resteers(%),25.272993,24.056617,26.557687,0.629200
TMA_....MS_Switches(%),0.000000,0.000000,0.000000,0.000000
TMA_....LCP(%),0.007773,0.007616,0.008010,0.000114
TMA_....DSB_Switches(%),4.066670,3.840650,4.217465,0.081678
TMA_..Fetch_Bandwidth(%),12.018743,11.213039,13.314517,0.372220
TMA_....MITE(%),11.870956,11.177838,12.230859,0.218271
TMA_....DSB(%),2.220541,2.084575,2.380864,0.068967
TMA_....MS(%),0.518742,0.503944,0.539051,0.007382
TMA_Bad_Speculation(%),12.398859,11.899702,13.318456,0.336058
TMA_..Branch_Mispredicts(%),11.617517,11.178746,12.636406,0.312031
TMA_....Other_Mispredicts(%),35.798900,0.010000,778.431380,138.703996
TMA_..Machine_Clears(%),0.887414,0.092892,1.239251,0.221253
TMA_....Other_Nukes(%),0.874532,0.483623,1.147433,0.158918
TMA_Backend_Bound(%),12.139670,9.430204,15.074589,1.581152
TMA_..Memory_Bound(%),9.850783,7.202628,12.877571,1.604991
TMA_....L1_Bound(%),13.083686,11.524957,14.369161,0.740387
TMA_......DTLB_Load(%),7.004156,6.468284,7.969965,0.294907
TMA_......Store_Fwd_Blk(%),0.037600,0.034429,0.067838,0.005745
TMA_......L1_Latency_Dependency(%),8.590782,8.188320,9.217554,0.218094
TMA_......Lock_Latency(%),0.046043,0.042424,0.059022,0.002896
TMA_......Split_Loads(%),0.021415,0.016836,0.025335,0.002519
TMA_......FB_Full(%),0.197923,0.156126,0.233188,0.018291
TMA_....L2_Bound(%),1.298156,1.261557,1.339477,0.018829
TMA_....L3_Bound(%),16.577181,15.431618,17.908887,0.604033
