TS,SKT,CPU,CID,CPU operating frequency (in GHz),CPU utilization %,CPU utilization % in kernel mode,CPI,kernel_CPI,IPC,giga_instructions_per_sec,branch misprediction ratio,locks retired per instr,L1D MPI (includes data+rfo w/ prefetches),L1D demand data read hits per instr,L1-I code read misses (w/ prefetches) per instr,L2 demand data read hits per instr,L2 MPI (includes code+data+rfo w/ prefetches),L2 demand data read MPI,L2 demand code MPI,LLC code read MPI (demand+prefetch),LLC data read MPI (demand+prefetch),Average LLC demand data read miss latency (in ns),Average LLC demand data read miss latency for LOCAL requests (in ns),Average LLC demand data read miss latency for REMOTE requests (in ns),package power (watts),DRAM power (watts),core c6 residency %,package c6 residency %,% Uops delivered from decoded Icache (DSB),% Uops delivered from legacy decode pipeline (MITE),memory bandwidth read (MB/sec),memory bandwidth write (MB/sec),memory bandwidth total (MB/sec),ITLB (2nd level) MPI,DTLB (2nd level) load MPI,DTLB (2nd level) store MPI,NUMA %_Reads addressed to local DRAM,NUMA %_Reads addressed to remote DRAM,uncore frequency GHz,IO_bandwidth_disk_or_network_reads (MB/sec),IO_bandwidth_disk_or_network_writes (MB/sec),TMA_Frontend_Bound(%),TMA_..Fetch_Latency(%),TMA_....ICache_Misses(%),TMA_....ITLB_Misses(%),TMA_....Branch_Resteers(%),TMA_....MS_Switches(%),TMA_....LCP(%),TMA_....DSB_Switches(%),TMA_..Fetch_Bandwidth(%),TMA_....MITE(%),TMA_....DSB(%),TMA_....MS(%),TMA_Bad_Speculation(%),TMA_..Branch_Mispredicts(%),TMA_....Other_Mispredicts(%),TMA_..Machine_Clears(%),TMA_....Other_Nukes(%),TMA_Backend_Bound(%),TMA_..Memory_Bound(%),TMA_....L1_Bound(%),TMA_......DTLB_Load(%),TMA_......Store_Fwd_Blk(%),TMA_......L1_Latency_Dependency(%),TMA_......Lock_Latency(%),TMA_......Split_Loads(%),TMA_......FB_Full(%),TMA_....L2_Bound(%),TMA_....L3_Bound(%),TMA_......Contested_Accesses(%),TMA_......Data_Sharing(%),TMA_......L3_Hit_Latency(%),TMA_......SQ_Full(%),TMA_....DRAM_Bound(%),TMA_......MEM_Bandwidth(%),TMA_......MEM_Latency(%),TMA_....Store_Bound(%),TMA_......Store_Latency(%),TMA_......False_Sharing(%),TMA_......Split_Stores(%),TMA_......Streaming_Stores(%),TMA_......DTLB_Store(%),TMA_..Core_Bound(%),TMA_....Divider(%),TMA_....Serializing_Operation(%),TMA_....AMX_Busy(%),TMA_....Ports_Utilization(%),TMA_Retiring(%),TMA_..Light_Operations(%),TMA_....FP_Arith(%),TMA_....Int_Operations(%),TMA_....Memory_Operations(%),TMA_....Fused_Instructions(%),TMA_....Non_Fused_Branches(%),TMA_....Other_Light_Ops(%),TMA_..Heavy_Operations(%),TMA_....Few_Uops_Instructions(%),TMA_....Microcode_Sequencer(%)
1761734226,,,,2.8052893,64.271705,21.535593,0.93294605,4.0828267,1.0718733,108.22534,0.032350379,0.00060863576,0.016590384,0.26532622,0.0053462902,0.0054074574,0.0088711864,0.0011966378,0.0017245239,2.0692089e-05,0.0052237455,38.107995,29.482141,+Inf,187.16711,14.451833,2.0914874,0,76.50619,22.809353,37871.938,9190.9755,47062.913,7.0458464e-05,0.0067012244,2.4408339e-05,100,0,6.1117794,0.06566428,59.187263,25.814782,16.823857,3.3720537,1.8394372,10.145032,0,0.0067272859,2.2002819,8.9909243,5.5386942,8.2862169,0.26700011,15.932178,13.309943,10.146002,1.0047719,0.89390773,37.117836,30.09719,12.647154,37.745938,0.75800768,10.291826,0.082482935,0.44834498,0.42399036,1.3178223,23.818005,5.8867261,1.6157271,13.170693,1.0509322,6.4371815,100,-22.731515,1.0982602,20.058121,3.3832024,0.11768072,0,5.7020388,7.0206457,2.8435942,0.45918041,0,16.944996,26.46105,24.469703,3.7523612,0.017060576,9.8310977,2.9018598,1.2661517,9.9019737,1.9913474,2.163227,0
1761734231,,,,2.641888,82.373633,22.200676,1.0122627,3.9791238,0.98788585,120.39194,0.038383854,0.00051272981,0.017167674,0.26907202,0.0049936709,0.0060630897,0.0093640704,0.0013773863,0.0015203752,1.7640668e-05,0.0051437461,39.530452,33.243195,+Inf,184.07531,14.301743,2.3096914,0,78.449179,20.946828,37880.534,9290.8133,47171.347,4.0508587e-05,0.0028360052,2.2672768e-05,100,0,6.0627271,0.033449955,0.052407452,25.293109,16.298928,4.4828741,1.3968149,9.7605431,0,0.0068063414,2.0982278,8.9941809,5.7909323,9.6750566,0.2741513,16.385498,15.532135,11.677407,1.0806408,0.79541383,27.80261,21.970002,12.897429,16.840306,0.71613646,10.653044,0.11770157,0.68738569,0.47304964,1.0081453,20.730066,5.4841552,2.0687823,7.1274541,1.1805978,4.5815492,100,-16.031182,1.0758036,19.06575,4.1870572,0.15402355,0,8.3408432,5.832608,3.5357824,0.54517437,0,15.100926,27.709589,25.454645,2.1461013,0.020113998,11.636967,2.4776431,0.91003531,4.4610871,2.254944,1.7484685,0
1761734236,,,,2.7406284,80.037317,22.249843,0.97987415,4.0144963,1.0205392,125.36041,0.036019407,0.00051812281,0.016619857,0.26576304,0.0053082335,0.0060276798,0.0092532644,0.0014340679,0.0016990295,1.7401391e-05,0.0047266064,39.499259,31.575163,+Inf,184.55708,14.546683,1.4250429,0,77.347613,22.033737,39231.466,9680.729,48912.195,4.626352e-05,0.0046549196,2.8148943e-05,100,0,6.0525824,0.034921197,0.055207422,24.746597,15.853328,4.4459014,1.5362321,9.5028227,0,0.007070166,2.3931226,8.8932691,6.0188547,8.9742174,0.28345281,15.777747,15.405505,11.592484,0.98983221,0.92877194,27.188829,21.194707,13.212153,27.538035,0.74394576,10.89216,0.074244473,0.4522654,0.36321534,1.3218224,20.591956,6.2397127,1.7606861,9.7768418,1.0018523,7.2208034,100,-17.413794,1.0263523,17.265186,3.9278477,0.1059076,0,7.290812,5.9941216,3.3878282,0.51389554,0,15.245848,28.36376,26.088011,3.211245,0.018857626,10.817406,2.5446668,1.2672399,9.7653722,2.2757494,2.115841,0
1761734241,,,,2.9436783,72.055592,22.013184,1.0616648,3.9999254,0.94191688,111.88159,0.038433564,0.00057360188,0.018803271,0.27267513,0.0054707723,0.0052529592,0.008088548,0.00095955819,0.001695262,2.026428e-05,0.0053523722,40.17219,29.870467,+Inf,184.38695,14.353125,1.6809748,0,77.290751,22.110371,38351.298,9447.6782,47798.976,8.9419564e-05,0.0055390304,2.9951016e-05,100,0,6.0173248,0.052952011,0.049008104,24.553497,15.595507,5.0499626,1.2534887,10.258653,0,0.0068961687,2.4901034,8.95799,5.1201659,8.8868602,0.27314181,15.971858,13.951656,11.543962,1.214527,1.3186101,35.495392,28.789915,13.604645,25.503964,0.74275219,11.064579,0.091259919,0.52916363,0.35741209,1.5609851,22.856299,5.900547,1.5259438,11.128462,0.37725743,8.4524973,100,-22.047726,1.2405086,17.200466,4.7379838,0.082036567,0,9.334774,6.7054769,4.0226405,0.46798521,0,16.063951,24.455584,22.476315,3.3065444,0.018845243,10.483114,2.6112473,1.2194341,8.6437069,1.9792682,2.1834715,0
1761734246,,,,2.7815541,88.853494,22.021653,0.97783271,4.0065274,1.0226698,141.54205,0.036597162,0.00047065723,0.01829966,0.26995181,0.0055339005,0.0066111481,0.010720705,0.0017468448,0.0013226903,1.6895146e-05,0.0041953983,40.580315,30.246307,+Inf,184.36911,14.650192,1.693204,0,78.095082,21.286737,39625.384,9908.2129,49533.597,6.3432148e-05,0.0043961579,2.7244643e-05,100,0,5.8853287,0.053158307,0.059458364,25.196065,15.904267,4.9172266,2.1740525,10.560575,0,0.0060454308,2.370241,9.2917979,4.8676638,8.6918719,0.25237506,16.009963,15.229009,12.143533,1.1929562,1.0484208,28.121815,21.919085,14.691088,27.435935,0.61407906,10.094384,0.071696377,0.32874132,0.42860911,1.3371353,20.808337,5.9467712,1.6659904,8.8993818,0.6089864,6.135743,100,-17.977723,0.88497422,18.671557,3.3894279,0.12569948,0,8.6651567,6.2027301,3.1711428,0.45040665,0,16.489536,30.141957,27.919319,4.719672,0.022219403,10.262351,2.9040234,1.3715936,1.2738095,2.2226383,2.2805749,0
1761734251,,,,2.65045,81.06626,22.667198,0.96195709,3.9540299,1.0395474,125.08121,0.034276498,0.00051941902,0.0172687,0.26577069,0.0052171376,0.0058364193,0.0090381982,0.0013736313,0.0019461296,1.8614937e-05,0.0049299322,39.238883,30.66442,+Inf,184.43954,14.521844,1.8849016,0,76.273757,23.118382,39299.784,9650.8656,48950.65,6.5281698e-05,0.005312817,2.2539472e-05,100,0,6.0469854,0.045158708,0.058097156,24.729362,15.92424,3.77818,1.720257,9.3339546,0,0.0073675082,2.6802398,8.8051216,5.7904675,9.2499979,0.29957963,16.142524,14.660487,11.357849,1.2569896,0.8551513,28.233042,22.525808,13.686778,29.880663,0.78412351,11.075747,0.079756818,0.51243305,0.40003627,1.4755015,20.46169,4.9530548,1.5146378,14.845184,0.44014443,7.5801441,100,-18.022567,1.0509965,17.021821,3.3391187,0.13263605,0,8.0047272,5.7072342,3.2738035,0.50062419,0,16.100645,29.791877,27.623246,3.8486377,0.019802725,11.647932,2.6736902,1.1969456,7.8189033,2.1686308,2.0777817,0
1761734256,,,,2.9382994,75.384403,22.324698,0.82427426,4.0412756,1.2131884,150.48521,0.029056825,0.00049553705,0.014679173,0.25642618,0.0055481095,0.006144443,0.0099263151,0.0015017031,0.002129984,1.4489285e-05,0.0036479608,40.443595,34.249449,+Inf,184.17958,14.459575,2.0043193,0,75.768823,23.665943,38425.487,9458.9355,47884.423,3.6537917e-05,0.0028090901,1.8079159e-05,100,0,5.9620602,0.036352644,0.049410747,25.949171,16.341135,3.8391806,1.509777,10.879301,0,0.0067817977,2.5640843,9.6080355,5.9425189,9.1738206,0.27595234,16.814217,14.510439,10.938755,1.1870469,0.99424932,28.99453,22.735936,13.960469,21.762721,0.79850318,11.039305,0.080717612,0.42167087,0.35686069,1.4349294,21.564975,6.2431127,1.4088887,10.687167,0.2802924,8.022779,100,-17.379471,1.0081192,16.595114,3.5641732,0.10860899,0,7.3638433,6.2585944,2.8067797,0.51187077,0,16.31078,32.020207,29.77019,5.129681,0.016962446,11.594084,2.6894378,1.2832124,9.1363788,2.2500166,2.1009536,0
1761734261,,,,2.8502333,75.073827,21.263358,0.89216356,4.0687331,1.1208707,134.31128,0.032010947,0.00049335862,0.016267067,0.26204261,0.0068970282,0.0057615471,0.0093065563,0.0011589979,0.0015874959,1.7082217e-05,0.0041346706,39.416121,29.561482,+Inf,184.40993,14.537024,1.8270789,0,79.688728,19.728552,38966.652,9669.2888,48635.941,7.6864658e-05,0.0057669901,2.525019e-05,100,0,5.9455151,0.045154169,0.047616201,29.889381,19.735303,4.5651891,1.1069173,12.454105,0,0.0075683956,2.4372059,10.154078,6.6742856,9.0428543,0.27809035,16.687206,14.086963,11.37006,0.67403051,0.91890212,30.962452,24.653268,12.558398,30.971741,0.94244561,11.894595,0.072281351,0.37484423,0.3472304,1.5025069,26.811185,6.128336,1.343805,12.628984,1.046773,9.1076082,100,-22.648892,1.0442229,17.582591,3.4510048,0.10167494,0,8.33239,6.3091838,3.7719815,0.49891617,0,16.53573,29.815495,27.656203,5.1812712,0.020538716,11.378891,2.8370892,1.4144573,4.6334969,2.159292,2.0971586,0
1761734266,,,,2.9492664,70.342186,21.972005,1.0629057,4.0171022,0.94081727,109.30076,0.039031429,0.0005818633,0.018903918,0.27359886,0.006368097,0.0049960786,0.007610213,0.00074715415,0.001401082,1.9942744e-05,0.0055201574,39.945935,29.921375,+Inf,184.49294,14.462665,2.1904154,0,81.106502,18.304087,38825.25,9547.1483,48372.398,0.0001570449,0.0080797602,2.9193161e-05,100,0,5.9678473,0.041501059,0.073894907,25.730856,16.639355,4.9666048,1.2593142,11.316954,0,0.0075838661,2.7019863,9.0915013,5.2978881,9.6144097,0.28314253,15.867488,14.359139,11.436585,0.97551241,0.98063718,35.264643,28.315605,15.073236,34.731052,0.91962836,11.260116,0.082377176,0.47319529,0.41201144,1.4570841,21.228272,5.8898955,1.6068153,14.111877,0.24315365,8.1900333,100,-22.138974,1.229642,17.87891,3.6797681,0.092497008,0,7.6423453,6.9490385,4.0714624,0.47968886,0,16.840127,24.334746,22.179636,3.6206325,0.019994491,11.414,2.6450423,1.0332453,4.9756523,2.1551098,2.0308433,0
1761734271,,,,2.9313708,86.278697,21.566881,1.0851714,3.9586414,0.92151344,130.51608,0.039272008,0.00051547096,0.018416529,0.27191069,0.0053271228,0.0060421747,0.0097635317,0.0016652733,0.0012900154,1.6713409e-05,0.0044847757,39.674008,30.635287,+Inf,184.14546,14.688764,2.0584114,0,79.517688,19.828545,39631.821,9761.5114,49393.333,0.00017094195,0.0065971628,2.381065e-05,100,0,5.9757991,0.032644826,0.050608989,24.199511,15.821169,5.154089,1.7888488,9.5034143,0,0.0070486028,2.5650722,8.3783414,5.1549846,9.9804423,0.2912965,15.588091,15.341596,10.687227,1.119427,1.1567687,28.45566,22.67097,15.410604,23.738903,0.67137831,10.601806,0.081786058,0.47395193,0.44118708,1.4901407,19.902503,5.7090701,1.6162031,11.102179,0.21143049,8.3155213,100,-15.360828,0.93817882,17.519006,3.5524042,0.15797916,0,7.7884197,5.7846905,3.4020293,0.51573637,0,16.232231,26.813415,24.636271,2.5664889,0.020383164,11.267131,2.8041183,1.2554157,8.1200337,2.1771437,2.1786055,0
