metric,mean,min,max,stddev
CPU operating frequency (in GHz),2.896313,2.641888,3.510011,0.188093
CPU utilization %,72.688157,21.739823,91.311584,16.282526
CPU utilization % in kernel mode,22.013347,20.929467,23.147953,0.504889
CPI,1.233903,0.824274,3.956854,0.750618
kernel_CPI,4.001923,3.548225,4.189839,0.114835
IPC,0.937492,0.252726,1.213188,0.224558
giga_instructions_per_sec,113.286114,10.799471,150.485210,34.777057
branch misprediction ratio,0.035312,0.003072,0.059627,0.010671
locks retired per instr,0.000888,0.000454,0.005408,0.001216
L1D MPI (includes data+rfo w/ prefetches),0.017720,0.014679,0.020941,0.001721
L1D demand data read hits per instr,0.269278,0.251551,0.294018,0.009277
L1-I code read misses (w/ prefetches) per instr,0.005464,0.003110,0.008774,0.001121
L2 demand data read hits per instr,0.005643,0.002400,0.007902,0.001034
L2 MPI (includes code+data+rfo w/ prefetches),0.009496,0.007170,0.013400,0.001628
L2 demand data read MPI,0.001507,0.000747,0.003797,0.000706
L2 demand code MPI,0.001355,0.000056,0.002130,0.000461
LLC code read MPI (demand+prefetch),0.000017,0.000000,0.000023,0.000005
LLC data read MPI (demand+prefetch),0.004389,0.000015,0.005847,0.001267
Average LLC demand data read miss latency (in ns),39.085959,33.718784,40.580315,1.797090
Average LLC demand data read miss latency for LOCAL requests (in ns),30.091954,19.755547,45.868238,4.061697
Average LLC demand data read miss latency for REMOTE requests (in ns),NaN,NaN,NaN,NaN
package power (watts),178.676575,127.669570,187.167110,15.515200
DRAM power (watts),13.590124,6.949266,14.763851,2.151047
core c6 residency %,5.983599,1.349754,41.578669,10.738742
package c6 residency %,0.000000,0.000000,0.000000,0.000000
% Uops delivered from decoded Icache (DSB),79.272117,75.148355,86.533778,3.022232
% Uops delivered from legacy decode pipeline (MITE),19.979598,11.220702,24.032236,3.303730
memory bandwidth read (MB/sec),34122.988207,113.684960,40042.151000,10975.092604
memory bandwidth write (MB/sec),8377.742732,60.625194,9921.829500,2737.085470
memory bandwidth total (MB/sec),42500.730936,174.310160,49963.981000,13709.572243
ITLB (2nd level) MPI,0.000100,0.000009,0.000237,0.000053
DTLB (2nd level) load MPI,0.005835,0.000024,0.010814,0.002512
DTLB (2nd level) store MPI,0.000026,0.000004,0.000042,0.000007
NUMA %_Reads addressed to local DRAM,100.000000,100.000000,100.000000,0.000000
NUMA %_Reads addressed to remote DRAM,0.000000,0.000000,0.000000,0.000000
uncore frequency GHz,6.172429,5.833023,7.303397,0.421075
IO_bandwidth_disk_or_network_reads (MB/sec),0.042860,0.024004,0.065664,0.008350
IO_bandwidth_disk_or_network_writes (MB/sec),2.027335,0.042979,59.187263,10.614335
TMA_Frontend_Bound(%),23.100405,2.232008,30.906956,6.386504
TMA_..Fetch_Latency(%),14.920510,0.969583,21.567905,4.482969
TMA_....ICache_Misses(%),4.526692,0.087364,6.627882,1.511910
TMA_....ITLB_Misses(%),1.445720,0.245680,2.431915,0.474045
TMA_....Branch_Resteers(%),9.204274,0.573186,13.058402,2.833575
TMA_....MS_Switches(%),0.000000,0.000000,0.000000,0.000000
TMA_....LCP(%),0.007288,0.005949,0.010741,0.001063
TMA_....DSB_Switches(%),2.420732,1.678537,2.759483,0.221335
TMA_..Fetch_Bandwidth(%),8.179894,1.262425,10.154078,2.029877
TMA_....MITE(%),4.955572,0.524041,6.745097,1.419270
TMA_....DSB(%),8.474266,1.554562,11.095986,2.164231
TMA_....MS(%),0.262690,0.160057,0.301149,0.031688
TMA_Bad_Speculation(%),14.299518,1.251143,17.122065,3.732261
TMA_..Branch_Mispredicts(%),13.623510,0.850766,16.425782,3.652200
TMA_....Other_Mispredicts(%),10.720207,0.789966,12.439582,2.803957
TMA_..Machine_Clears(%),0.915288,0.024637,1.256990,0.268744
TMA_....Other_Nukes(%),0.871777,0.068585,1.318610,0.260147
TMA_Backend_Bound(%),35.831428,23.882388,92.130393,16.192265
TMA_..Memory_Bound(%),29.703056,18.318542,87.783144,16.558054
TMA_....L1_Bound(%),13.566568,11.622835,16.155789,1.024362
TMA_......DTLB_Load(%),26.777950,0.907521,39.487485,9.724818
TMA_......Store_Fwd_Blk(%),0.745674,0.033216,1.137676,0.262549
TMA_......L1_Latency_Dependency(%),10.125225,0.000000,12.319356,2.912392
TMA_......Lock_Latency(%),0.320244,0.065043,2.762204,0.708121
TMA_......Split_Loads(%),0.413746,0.012238,1.091927,0.200115
TMA_......FB_Full(%),0.352443,0.005997,0.492665,0.131938
TMA_....L2_Bound(%),1.223021,0.167238,1.583031,0.391396
TMA_....L3_Bound(%),27.960344,19.675099,74.067884,15.580694
TMA_......Contested_Accesses(%),8.974180,4.953055,35.831349,8.197610
TMA_......Data_Sharing(%),2.478771,1.343805,10.703049,2.298963
TMA_......L3_Hit_Latency(%),10.026354,2.024261,14.845184,3.339811
TMA_......SQ_Full(%),0.685829,0.008131,1.514090,0.407250
TMA_....DRAM_Bound(%),6.305948,0.015430,9.225184,2.450343
TMA_......MEM_Bandwidth(%),98.222666,56.991137,100.000000,7.876790
TMA_......MEM_Latency(%),-20.737259,-36.499812,0.000000,4.638709
TMA_....Store_Bound(%),0.952008,0.013578,1.358684,0.313084
TMA_......Store_Latency(%),22.367752,15.652545,62.896900,11.389292
TMA_......False_Sharing(%),5.071585,3.089771,19.541903,4.144952
TMA_......Split_Stores(%),0.108444,0.011245,0.157979,0.036957
TMA_......Streaming_Stores(%),0.000000,0.000000,0.000000,0.000000
TMA_......DTLB_Store(%),6.595277,0.190391,9.334774,2.253745
TMA_..Core_Bound(%),6.128372,4.063491,7.236084,0.684017
TMA_....Divider(%),3.509486,0.009369,4.945284,1.208933
TMA_....Serializing_Operation(%),0.525546,0.420135,0.985345,0.105408
TMA_....AMX_Busy(%),0.000000,0.000000,0.000000,0.000000
TMA_....Ports_Utilization(%),14.738381,3.178322,17.220975,3.396448
TMA_Retiring(%),25.311210,4.339913,32.308966,6.848870
TMA_..Light_Operations(%),23.208610,2.848679,29.866386,6.690080
TMA_....FP_Arith(%),3.319394,0.000029,5.767778,1.394120
TMA_....Int_Operations(%),0.018567,0.007066,0.024203,0.003643
TMA_....Memory_Operations(%),9.888384,0.968409,12.692911,3.063219
TMA_....Fused_Instructions(%),2.442067,0.177259,3.126826,0.781579
TMA_....Non_Fused_Branches(%),1.147458,0.228212,1.414457,0.316902
TMA_....Other_Light_Ops(%),7.121987,0.729161,13.825853,3.326101
TMA_..Heavy_Operations(%),2.102600,1.459270,2.582703,0.220745
TMA_....Few_Uops_Instructions(%),2.141465,1.748468,2.388070,0.154580
TMA_....Microcode_Sequencer(%),0.000000,0.000000,0.000000,0.000000
