TS,SKT,CPU,CID,CPU operating frequency (in GHz),CPU utilization %,CPU utilization % in kernel mode,CPI,kernel_CPI,IPC,giga_instructions_per_sec,branch misprediction ratio,locks retired per instr,L1D MPI (includes data+rfo w/ prefetches),L1D demand data read hits per instr,L1-I code read misses (w/ prefetches) per instr,L2 demand data read hits per instr,L2 MPI (includes code+data+rfo w/ prefetches),L2 demand data read MPI,L2 demand code MPI,LLC code read MPI (demand+prefetch),LLC data read MPI (demand+prefetch),Average LLC demand data read miss latency (in ns),Average LLC demand data read miss latency for LOCAL requests (in ns),Average LLC demand data read miss latency for REMOTE requests (in ns),package power (watts),DRAM power (watts),core c6 residency %,package c6 residency %,% Uops delivered from decoded Icache (DSB),% Uops delivered from legacy decode pipeline (MITE),memory bandwidth read (MB/sec),memory bandwidth write (MB/sec),memory bandwidth total (MB/sec),ITLB (2nd level) MPI,DTLB (2nd level) load MPI,DTLB (2nd level) store MPI,NUMA %_Reads addressed to local DRAM,NUMA %_Reads addressed to remote DRAM,uncore frequency GHz,IO_bandwidth_disk_or_network_reads (MB/sec),IO_bandwidth_disk_or_network_writes (MB/sec),TMA_Frontend_Bound(%),TMA_..Fetch_Latency(%),TMA_....ICache_Misses(%),TMA_....ITLB_Misses(%),TMA_....Branch_Resteers(%),TMA_....MS_Switches(%),TMA_....LCP(%),TMA_....DSB_Switches(%),TMA_..Fetch_Bandwidth(%),TMA_....MITE(%),TMA_....DSB(%),TMA_....MS(%),TMA_Bad_Speculation(%),TMA_..Branch_Mispredicts(%),TMA_....Other_Mispredicts(%),TMA_..Machine_Clears(%),TMA_....Other_Nukes(%),TMA_Backend_Bound(%),TMA_..Memory_Bound(%),TMA_....L1_Bound(%),TMA_......DTLB_Load(%),TMA_......Store_Fwd_Blk(%),TMA_......L1_Latency_Dependency(%),TMA_......Lock_Latency(%),TMA_......Split_Loads(%),TMA_......FB_Full(%),TMA_....L2_Bound(%),TMA_....L3_Bound(%),TMA_......Contested_Accesses(%),TMA_......Data_Sharing(%),TMA_......L3_Hit_Latency(%),TMA_......SQ_Full(%),TMA_....DRAM_Bound(%),TMA_......MEM_Bandwidth(%),TMA_......MEM_Latency(%),TMA_....Store_Bound(%),TMA_......Store_Latency(%),TMA_......False_Sharing(%),TMA_......Split_Stores(%),TMA_......Streaming_Stores(%),TMA_......DTLB_Store(%),TMA_..Core_Bound(%),TMA_....Divider(%),TMA_....Serializing_Operation(%),TMA_....AMX_Busy(%),TMA_....Ports_Utilization(%),TMA_Retiring(%),TMA_..Light_Operations(%),TMA_....FP_Arith(%),TMA_....Int_Operations(%),TMA_....Memory_Operations(%),TMA_....Fused_Instructions(%),TMA_....Non_Fused_Branches(%),TMA_....Other_Light_Ops(%),TMA_..Heavy_Operations(%),TMA_....Few_Uops_Instructions(%),TMA_....Microcode_Sequencer(%)
1761734664,,,,2.9931543,100.40686,24.646757,1.9330167,3.1691905,0.51732611,87.065261,0.022526029,0.0053868366,0.017517138,0.26977874,0.027416972,0.0041422462,0.018103707,0.0026901391,0.0059740173,3.9544029e-05,0.002382308,36.662703,27.665629,+Inf,186.25587,10.898788,0,0,51.511319,44.491754,14319.199,5736.1959,20055.395,0.00028800929,0.0010362161,7.0490936e-05,100,0,6.3893309,0.063469159,0.27632866,24.463506,17.18823,3.710456,2.2782911,4.3366709,0,0.017997918,2.8620375,7.2752754,6.4221032,3.1657682,0.74464793,7.4666416,6.2140393,4.9085693,0.99584228,0.93399519,51.284506,46.86815,30.819462,6.7738939,1.061147,5.5924218,1.2863604,0.11063907,0.42767172,1.3052557,31.021282,21.613178,7.3209946,8.2109483,0.07188938,5.3784359,100,-21.849827,1.4691035,42.235066,44.183666,0.08046874,0,7.7173791,4.4163551,0.048470502,1.4778115,0,9.564207,17.838729,15.678312,0.001443116,0.0029194297,7.2647507,1.3753688,1.443489,5.4999048,2.1604166,2.1305464,0
1761734669,,,,2.9930984,100.03529,24.213387,1.9215669,3.3039559,0.52040862,87.258297,0.022991521,0.0053976616,0.017772815,0.26946292,0.026688543,0.0039878902,0.017888284,0.0027722618,0.006028631,3.8731005e-05,0.0023320237,36.837776,27.852582,+Inf,184.40513,10.788252,8.6199517e-05,0,51.230637,44.775229,14204.248,5630.3565,19834.605,0.00029517865,0.0010253662,7.2387871e-05,100,0,6.3194484,0.038022087,0.048720171,24.049706,17.12244,3.7726259,2.2107909,4.2876336,0,0.016934315,2.6391475,6.9272666,6.1902261,3.0723435,0.67802709,6.9882714,6.4215233,4.6412854,0.83510282,0.83367507,50.230331,45.828188,29.325846,6.7355576,1.0637979,5.47442,1.3062151,0.1183113,0.42802032,1.3018663,32.023627,20.696731,7.5266248,8.4033153,0.10244134,5.4260341,100,-22.91683,1.4369392,43.349591,44.347787,0.081804239,0,7.4528743,4.4021431,0.048799978,0.89172283,0,9.3548624,17.889194,15.736301,0.0016837158,0.002796224,7.1366983,1.3554723,1.4254763,5.0123412,2.152893,2.0556656,0
1761734674,,,,2.9926081,99.872682,24.051248,1.9727912,3.5724241,0.50689602,84.840547,0.023443819,0.0054792825,0.017989165,0.2699723,0.027118836,0.0040595992,0.017955521,0.0027224944,0.0058921493,4.1397938e-05,0.0024132129,36.888096,27.82125,+Inf,184.38042,10.803837,0,0,52.183428,43.890491,14183.887,5624.6502,19808.537,0.00029384459,0.0010449907,7.1662006e-05,100,0,6.2989405,0.050067118,0.067937345,24.322035,17.264956,3.7657622,2.2631224,4.3206095,0,0.017244125,2.7936774,7.0570788,6.328555,3.0671098,0.70237074,7.1449025,6.2953283,4.7074784,0.89170842,0.95746135,50.707844,46.671772,30.239373,6.7617448,1.0641528,5.5136327,1.2936122,0.11155959,0.45006241,1.3068947,30.702329,20.62744,7.0593415,8.5236839,0.075788155,5.5824687,100,-21.426122,1.4235574,43.394175,43.521734,0.077476412,0,7.3042595,4.036072,0.0480088,0.92373765,0,9.1433622,17.403989,15.188335,0.0015140013,0.0028513794,7.1904504,1.3516816,1.4239488,5.5968307,2.2156531,2.0462761,0
1761734679,,,,2.992067,99.995505,24.779523,1.9793083,3.6283613,0.505227,84.649884,0.023227966,0.0054222311,0.017757633,0.26994279,0.02772463,0.0041199285,0.01820277,0.0027300745,0.0060017434,3.9972946e-05,0.0024476458,36.843962,28.045314,+Inf,184.43941,10.720866,0,0,51.571384,44.452958,14201.448,5593.7082,19795.156,0.00029392584,0.0010349217,7.1399499e-05,100,0,6.3133539,0.041690019,0.53947163,24.515557,17.485286,3.822506,2.2317304,4.4959661,0,0.017034746,2.7557361,7.0302714,6.3019308,3.09781,0.70531053,7.1955401,6.3270943,4.8515658,0.6686341,0.83957265,51.273608,46.99461,29.614002,6.5810921,1.0568773,5.4557706,1.2997884,0.11768965,0.43775118,1.2867654,32.308707,20.187772,7.6306479,8.2393315,0.093753366,5.5253658,100,-25.091934,1.4564255,42.800972,44.685965,0.080777497,0,7.4855453,4.2789987,0.049035767,1.1139294,0,8.8859306,17.387616,15.231087,0.0014983353,0.0028069195,7.0806789,1.3572169,1.4209304,5.5032938,2.1565287,2.0783173,0
1761734684,,,,2.9925805,99.933485,24.515912,1.9908375,3.5734704,0.50230116,84.121902,0.023284272,0.0054209221,0.017851986,0.26984066,0.02663433,0.0040205587,0.017932177,0.0027485349,0.0059778419,4.0513126e-05,0.0024411698,36.90573,27.721687,+Inf,184.47972,10.747966,0,0,51.721213,44.310891,14228.315,5610.1306,19838.445,0.00029127471,0.0010465034,7.2307259e-05,100,0,6.3002488,0.034099662,0.091567436,23.43237,16.506263,3.7869176,2.2758254,4.1997652,0,0.021266454,2.7936736,6.926107,6.2770299,3.0538676,0.70761971,7.0270814,6.2895417,4.6666244,0.77109189,0.74477008,51.513733,47.474035,29.84308,6.7516187,1.030701,5.3536587,1.3118318,0.11733854,0.43121209,1.2867561,31.929422,20.731246,7.441195,8.4781886,0.14321055,5.4648955,100,-22.107629,1.4155871,43.647766,43.337771,0.078753833,0,7.4478144,4.0396976,0.048483932,0.85301993,0,9.1812612,17.190853,15.015478,0.0014729751,0.0027952981,6.9230385,1.358505,1.4303586,5.2315941,2.1753748,2.0751826,0
1761734689,,,,3.0829114,60.716641,23.185301,2.2685138,3.9925059,0.44081725,46.20781,0.021254493,0.0054537125,0.01753899,0.2681501,0.024131818,0.0037862939,0.017381363,0.0028958183,0.0054538559,5.3391772e-05,0.0032584225,35.268813,24.504219,+Inf,166.53251,9.5793404,11.65595,0,55.856312,40.347808,10092.094,3846.7628,13938.856,0.00026497743,0.00091603152,6.6061415e-05,100,0,6.6240847,0.036503675,0.073705438,17.139464,12.166362,3.0998174,1.8430731,3.6970087,0,0.01558137,2.6212397,4.9731026,4.3550555,2.5551505,0.5304114,5.148256,4.3626154,3.5937885,0.64373035,0.78144929,65.123988,61.044274,25.601784,5.3888658,0.85515891,5.5344966,1.3670778,0.11601219,0.3357774,1.0470328,40.887522,22.653425,7.6204362,8.0020452,0.12174597,5.6121002,100,-22.788518,1.1153117,43.386398,43.957489,0.081047776,0,7.4659933,4.079714,0.041730684,1.1667186,0,8.9789419,12.676681,11.170519,0.0012846362,0.0034944455,5.9518852,1.1579506,1.1997175,4.8599583,1.5061625,1.4578993,0
1761734694,,,,3.0200383,61.200108,23.303659,2.2067308,3.8740526,0.45315903,46.903289,0.02145862,0.005431374,0.017591716,0.26741855,0.025117348,0.0038153822,0.017619781,0.0030001441,0.0061962939,5.3907533e-05,0.0031241156,35.561948,27.025944,+Inf,173.80803,9.6864563,11.357129,0,50.230628,45.701175,10546.298,4153.5827,14699.881,0.00029265875,0.001032611,7.4618825e-05,100,0,6.9655019,0.042158649,0.05572739,20.674679,14.472965,3.733239,2.3912938,3.9927976,0,0.018485621,2.8046761,6.2017147,6.3619473,3.1385473,0.75775817,6.1804796,4.5360047,4.6157922,0.80502357,1.1477984,64.433981,60.126569,29.561729,6.7985909,1.094269,5.6372177,1.2719316,0.12625627,0.41804183,1.3487522,32.611989,25.11184,6.4060122,7.5867136,0.34847379,5.2047009,100,-30.200253,1.3708549,47.505153,37.699939,0.055827104,0,4.9435553,4.3074119,0.050099265,0.8511801,0,7.6905475,12.910298,11.300744,0.0013452971,0.0036128275,7.3860304,1.4178068,1.4917372,4.7203875,1.6095538,2.0120405,0
1761734699,,,,2.9920103,99.5755,24.720109,2.0049848,3.714772,0.49875691,83.21326,0.023336231,0.0054660598,0.017878966,0.27009533,0.027451327,0.0041160896,0.018062424,0.0027433809,0.0059895922,4.1962259e-05,0.0024536083,37.113627,28.015403,+Inf,184.26646,10.69301,0,0,51.838308,44.185088,14136.306,5601.8026,19738.109,0.00029613539,0.0010370545,7.1892367e-05,100,0,6.2403497,0.036551621,0.56761407,24.934685,17.71814,3.8014813,2.1671669,4.5389272,0,0.01581141,2.660499,7.216545,6.5533643,3.0913219,0.66576176,7.2280758,6.2323499,3.7411856,1.0828753,1.1456462,51.504468,47.327384,29.828015,6.5513747,1.0479803,5.4008493,1.3096171,0.11506221,0.4290395,1.2921465,32.155633,20.553736,7.4859353,8.4516694,0.073643185,5.355575,100,-22.801445,1.4559463,42.785167,43.327785,0.079761458,0,7.5506765,4.1770844,0.048480264,1.0546324,0,9.3987961,17.116483,15.068016,0.0014695598,0.0027995786,7.0300899,1.3424344,1.4100514,5.4955201,2.0484664,1.9979643,0
1761734704,,,,3.4587099,21.590658,21.485538,3.9874192,4.0811349,0.25078878,10.487601,0.0032195639,0.0053831089,0.014706793,0.25140309,0.024264188,0.003901162,0.017575048,0.0030842255,0.0056587596,0.0001418879,0.0086860296,34.065351,29.660529,+Inf,153.31208,8.4788674,23.66922,0,54.728278,41.421763,5793.797,2286.5105,8080.3074,0.0002524165,0.00094308665,6.5607403e-05,100,0,7.0040705,0.072406756,0.048566588,16.067826,11.030602,2.9810146,1.9198841,3.4721432,0,0.01745157,2.8636973,5.0372237,4.5873073,2.6683455,0.55424962,4.5484933,0.86620251,2.6372874,0.48220144,0.59997766,92.039448,87.69528,23.433774,4.7337692,0.046094471,0,1.5099758,0.12979628,0.32878343,1.0480428,40.560967,26.876951,6.9284174,6.9881435,0.061280639,4.5971185,100,-27.348225,1.2584767,46.851369,40.579835,0.058542415,0,4.9651074,4.3441683,0.041786332,0.90729158,0,6.6934198,4.4661679,3.0593195,0.0001658134,0.009636863,1.4774262,0.91782563,0.99671855,1.5802538,1.4068483,1.586878,0
1761734709,,,,2.9779076,99.987902,24.797773,2.0031375,3.7084864,0.49921686,83.240741,0.023766834,0.0054858266,0.018081281,0.26985015,0.027211681,0.0040946753,0.018050818,0.0027563136,0.0060171308,4.1154034e-05,0.0025205367,36.254746,27.522393,+Inf,186.95142,10.865948,0,0,51.544031,44.495533,14585.982,5646.2849,20232.267,0.00028414244,0.0010435015,7.0799406e-05,100,0,6.521485,0.039480455,0.06351701,24.598782,17.896423,3.7236083,2.3603758,4.5006023,0,0.017380094,2.6782175,6.7023589,6.060207,3.0010764,0.70437764,7.1080436,6.2060395,3.7454214,1.2950577,0.5798293,50.805919,46.69749,29.189081,6.6798477,1.0945045,5.6422952,1.2708049,0.1139822,0.4280456,1.3224712,32.516845,21.030931,7.749552,8.4048937,0.13654569,5.5940562,100,-22.195349,1.4220407,43.478286,42.907094,0.078279994,0,7.3856066,4.1084284,0.048530066,0.95827229,0,9.213867,17.39932,15.42178,0.0014916136,0.0027329476,7.4084358,1.4008917,1.4696999,5.7683777,1.9775406,2.1185335,0
