metric,mean,min,max,stddev
CPU operating frequency (in GHz),2.973460,2.537907,3.458710,0.164359
CPU utilization %,82.026706,21.590658,100.406860,22.087890
CPU utilization % in kernel mode,25.104143,21.485538,29.824454,2.266433
CPI,1.915294,1.297986,3.987419,0.500764
kernel_CPI,3.484443,2.804089,4.081135,0.351045
IPC,0.551400,0.250789,0.770424,0.122641
giga_instructions_per_sec,75.973915,10.487601,118.978350,26.225806
branch misprediction ratio,0.023317,0.003220,0.028424,0.004505
locks retired per instr,0.003917,0.000584,0.005486,0.002120
L1D MPI (includes data+rfo w/ prefetches),0.017483,0.014707,0.018081,0.000565
L1D demand data read hits per instr,0.264490,0.251403,0.270995,0.006500
L1-I code read misses (w/ prefetches) per instr,0.026498,0.024132,0.028710,0.001324
L2 demand data read hits per instr,0.004256,0.003786,0.004904,0.000357
L2 MPI (includes code+data+rfo w/ prefetches),0.016541,0.013709,0.018527,0.001833
L2 demand data read MPI,0.002683,0.002371,0.003084,0.000190
L2 demand code MPI,0.005660,0.004212,0.006208,0.000407
LLC code read MPI (demand+prefetch),0.000043,0.000014,0.000142,0.000021
LLC data read MPI (demand+prefetch),0.002647,0.000853,0.008686,0.001283
Average LLC demand data read miss latency (in ns),36.335054,33.738224,39.288703,1.570875
Average LLC demand data read miss latency for LOCAL requests (in ns),27.764321,24.134465,29.833474,1.559192
Average LLC demand data read miss latency for REMOTE requests (in ns),NaN,NaN,NaN,NaN
package power (watts),174.583184,144.954600,188.725360,13.031133
DRAM power (watts),10.507551,8.240960,13.016347,1.308097
core c6 residency %,8.251628,0.000000,29.689592,10.108351
package c6 residency %,0.000000,0.000000,0.000000,0.000000
% Uops delivered from decoded Icache (DSB),53.888241,50.230628,63.375934,2.848308
% Uops delivered from legacy decode pipeline (MITE),42.884700,33.393133,45.701175,2.576818
memory bandwidth read (MB/sec),13475.071640,4969.541300,23301.882000,5012.644759
memory bandwidth write (MB/sec),5711.462143,2286.510500,10952.135000,2465.258387
memory bandwidth total (MB/sec),19186.533807,7396.795700,34254.018000,7450.379305
ITLB (2nd level) MPI,0.000285,0.000230,0.000322,0.000023
DTLB (2nd level) load MPI,0.001115,0.000875,0.001443,0.000187
DTLB (2nd level) store MPI,0.000064,0.000046,0.000079,0.000009
NUMA %_Reads addressed to local DRAM,100.000000,100.000000,100.000000,0.000000
NUMA %_Reads addressed to remote DRAM,0.000000,0.000000,0.000000,0.000000
uncore frequency GHz,6.459793,5.805549,7.167303,0.385423
IO_bandwidth_disk_or_network_reads (MB/sec),0.042975,0.024921,0.072407,0.010865
IO_bandwidth_disk_or_network_writes (MB/sec),0.156854,0.038245,0.664706,0.184770
TMA_Frontend_Bound(%),26.060258,16.067826,39.292431,6.883726
TMA_..Fetch_Latency(%),18.544066,11.030602,28.641471,5.071919
TMA_....ICache_Misses(%),4.360228,2.801095,6.786877,1.251906
TMA_....ITLB_Misses(%),2.413985,0.383610,3.548145,0.645745
TMA_....Branch_Resteers(%),5.412944,3.450361,8.914761,1.814795
TMA_....MS_Switches(%),0.000000,0.000000,0.000000,0.000000
TMA_....LCP(%),0.028845,0.011641,0.120080,0.024611
TMA_....DSB_Switches(%),3.126468,2.260452,6.258174,0.754854
TMA_..Fetch_Bandwidth(%),7.516192,4.853607,11.268310,1.839613
TMA_....MITE(%),6.287271,0.512659,9.675606,1.860747
TMA_....DSB(%),3.454189,1.500433,5.374656,0.980241
TMA_....MS(%),0.620037,0.164357,0.757758,0.122034
TMA_Bad_Speculation(%),8.196205,4.548493,13.963826,2.801803
TMA_..Branch_Mispredicts(%),6.960701,0.866203,13.303456,2.888513
TMA_....Other_Mispredicts(%),3.755942,0.010000,7.172320,1.914609
TMA_..Machine_Clears(%),0.775938,0.449256,1.295058,0.186942
TMA_....Other_Nukes(%),0.779954,0.031332,1.147798,0.252075
TMA_Backend_Bound(%),50.089957,21.977167,92.039448,15.679027
TMA_..Memory_Bound(%),45.934026,17.906362,87.695280,15.578812
TMA_....L1_Bound(%),22.988315,11.224021,30.819462,7.815422
TMA_......DTLB_Load(%),7.406836,0.968540,11.559314,2.375751
TMA_......Store_Fwd_Blk(%),0.682161,0.038711,1.224606,0.455036
TMA_......L1_Latency_Dependency(%),5.538655,0.000000,7.868809,1.871392
TMA_......Lock_Latency(%),1.004202,0.063515,2.720614,0.639959
TMA_......Split_Loads(%),0.165938,0.011265,0.303410,0.083047
TMA_......FB_Full(%),0.566408,0.008423,1.107287,0.288167
TMA_....L2_Bound(%),1.402836,0.155279,2.092437,0.405213
TMA_....L3_Bound(%),34.650227,27.372335,74.574628,8.611591
TMA_......Contested_Accesses(%),18.340282,5.579817,34.936279,7.525089
TMA_......Data_Sharing(%),6.643800,4.263175,9.012147,1.173780
TMA_......L3_Hit_Latency(%),9.904101,2.092595,16.786210,3.589163
TMA_......SQ_Full(%),0.230897,0.009320,0.901317,0.228905
TMA_....DRAM_Bound(%),5.894334,0.002368,8.996095,1.707033
TMA_......MEM_Bandwidth(%),98.550111,56.503315,100.000000,7.807894
TMA_......MEM_Latency(%),-24.390820,-35.746840,0.000000,3.960118
TMA_....Store_Bound(%),1.198031,0.693758,1.580978,0.286426
TMA_......Store_Latency(%),39.347150,16.980238,63.202383,11.720398
TMA_......False_Sharing(%),31.559467,3.078225,44.835546,16.143630
TMA_......Split_Stores(%),0.083639,0.011369,0.160012,0.035794
TMA_......Streaming_Stores(%),0.000000,0.000000,0.000000,0.000000
TMA_......DTLB_Store(%),5.989649,0.197656,7.839460,2.311119
TMA_..Core_Bound(%),4.155931,3.513832,4.643731,0.233572
TMA_....Divider(%),0.063630,0.040017,0.108041,0.024139
TMA_....Serializing_Operation(%),1.162138,0.690594,2.081339,0.337322
TMA_....AMX_Busy(%),0.000000,0.000000,0.000000,0.000000
TMA_....Ports_Utilization(%),9.055734,3.150814,14.256546,2.957079
TMA_Retiring(%),17.280299,4.466168,24.748058,4.469486
TMA_..Light_Operations(%),15.408595,3.059319,22.833304,4.417253
TMA_....FP_Arith(%),0.001660,0.000024,0.003005,0.000746
TMA_....Int_Operations(%),0.004257,0.002733,0.010067,0.002041
TMA_....Memory_Operations(%),6.848866,0.714589,10.193537,2.436985
TMA_....Fused_Instructions(%),1.510141,0.243508,2.438416,0.520849
TMA_....Non_Fused_Branches(%),1.526633,0.312759,2.292179,0.447784
TMA_....Other_Light_Ops(%),4.997506,0.000000,11.124726,2.247721
TMA_..Heavy_Operations(%),1.871703,1.279799,2.215653,0.238756
TMA_....Few_Uops_Instructions(%),1.726937,1.203057,2.130546,0.281557
TMA_....Microcode_Sequencer(%),0.000000,0.000000,0.000000,0.000000
