TS,SKT,CPU,CID,CPU operating frequency (in GHz),CPU utilization %,CPU utilization % in kernel mode,CPI,kernel_CPI,IPC,giga_instructions_per_sec,branch misprediction ratio,locks retired per instr,L1D MPI (includes data+rfo w/ prefetches),L1D demand data read hits per instr,L1-I code read misses (w/ prefetches) per instr,L2 demand data read hits per instr,L2 MPI (includes code+data+rfo w/ prefetches),L2 demand data read MPI,L2 demand code MPI,LLC code read MPI (demand+prefetch),LLC data read MPI (demand+prefetch),Average LLC demand data read miss latency (in ns),Average LLC demand data read miss latency for LOCAL requests (in ns),Average LLC demand data read miss latency for REMOTE requests (in ns),package power (watts),DRAM power (watts),core c6 residency %,package c6 residency %,% Uops delivered from decoded Icache (DSB),% Uops delivered from legacy decode pipeline (MITE),memory bandwidth read (MB/sec),memory bandwidth write (MB/sec),memory bandwidth total (MB/sec),ITLB (2nd level) MPI,DTLB (2nd level) load MPI,DTLB (2nd level) store MPI,NUMA %_Reads addressed to local DRAM,NUMA %_Reads addressed to remote DRAM,uncore frequency GHz,IO_bandwidth_disk_or_network_reads (MB/sec),IO_bandwidth_disk_or_network_writes (MB/sec),TMA_Frontend_Bound(%),TMA_..Fetch_Latency(%),TMA_....ICache_Misses(%),TMA_....ITLB_Misses(%),TMA_....Branch_Resteers(%),TMA_....MS_Switches(%),TMA_....LCP(%),TMA_....DSB_Switches(%),TMA_..Fetch_Bandwidth(%),TMA_....MITE(%),TMA_....DSB(%),TMA_....MS(%),TMA_Bad_Speculation(%),TMA_..Branch_Mispredicts(%),TMA_....Other_Mispredicts(%),TMA_..Machine_Clears(%),TMA_....Other_Nukes(%),TMA_Backend_Bound(%),TMA_..Memory_Bound(%),TMA_....L1_Bound(%),TMA_......DTLB_Load(%),TMA_......Store_Fwd_Blk(%),TMA_......L1_Latency_Dependency(%),TMA_......Lock_Latency(%),TMA_......Split_Loads(%),TMA_......FB_Full(%),TMA_....L2_Bound(%),TMA_....L3_Bound(%),TMA_......Contested_Accesses(%),TMA_......Data_Sharing(%),TMA_......L3_Hit_Latency(%),TMA_......SQ_Full(%),TMA_....DRAM_Bound(%),TMA_......MEM_Bandwidth(%),TMA_......MEM_Latency(%),TMA_....Store_Bound(%),TMA_......Store_Latency(%),TMA_......False_Sharing(%),TMA_......Split_Stores(%),TMA_......Streaming_Stores(%),TMA_......DTLB_Store(%),TMA_..Core_Bound(%),TMA_....Divider(%),TMA_....Serializing_Operation(%),TMA_....AMX_Busy(%),TMA_....Ports_Utilization(%),TMA_Retiring(%),TMA_..Light_Operations(%),TMA_....FP_Arith(%),TMA_....Int_Operations(%),TMA_....Memory_Operations(%),TMA_....Fused_Instructions(%),TMA_....Non_Fused_Branches(%),TMA_....Other_Light_Ops(%),TMA_..Heavy_Operations(%),TMA_....Few_Uops_Instructions(%),TMA_....Microcode_Sequencer(%)
1761737206,,,,2.6458453,61.785209,48.572117,1.2350722,1.2781996,0.80966927,74.121576,0.0078952535,0.0021230676,0.023502634,0.2304712,0.053890435,0.0082521858,0.0122408,0.0042001108,0.00032210261,3.5735803e-06,0.00034011417,33.581594,25.920299,+Inf,177.21121,8.7593032,0,0,15.711698,70.045499,7743.6508,1265.064,9008.7147,0.00016737664,0.00054243358,0.00011446499,100,0,7.3560725,0.022956968,13.844062,32.000856,20.925587,4.102147,4.5878946,5.3420225,0,0.1101898,1.6501796,11.075269,10.615479,1.8371002,3.825261,4.6855076,3.9409312,5.5295728,0.79146972,0.78497091,41.399459,27.745913,12.718396,6.4378432,0.57563035,7.5018678,0.35439674,0.13321846,1.3561705,1.8395317,25.882517,42.94324,12.643215,17.74807,0.069864802,1.3062888,100,-26.681027,2.6491963,23.117258,24.511784,0.10145562,0,6.3590481,13.653546,0.40372622,26.43852,0,16.919747,22.008497,18.109911,0.00029833766,0.012146833,6.7910834,1.5455381,1.5022764,8.8531709,3.8985862,3.9001714,0
1761737211,,,,2.664044,63.051862,48.478669,1.2125852,1.2752102,0.8246843,77.5738,0.0077086007,0.002182513,0.022971346,0.22716425,0.052579665,0.0081308132,0.012244951,0.0041656244,0.00031756214,3.1534659e-06,0.00035271239,33.934279,25.659661,+Inf,177.40441,8.7296603,0,0,16.283865,69.620512,8021.1737,1353.2111,9374.3848,0.00016899839,0.00054404217,0.00011550396,100,0,7.3037524,0.046576615,0.036400319,32.125785,20.790945,4.0582225,4.5625069,5.2811187,0,0.11013018,1.6486513,11.33484,10.63377,1.5399289,3.8132431,4.6764232,3.8873577,5.6650365,0.79541166,0.78497055,40.881153,27.421494,12.700447,6.4038312,0.57784552,7.4741278,0.36388323,0.13368011,1.3459415,1.8388831,26.039718,43.272777,12.826357,18.01557,0.071146884,1.4677005,100,-25.726331,2.5773563,23.541946,24.351171,0.10165367,0,6.5024674,13.459659,0.39919695,26.508331,0,16.701431,22.370962,18.469046,0.00073902191,0.012212831,6.8075903,1.5296466,1.4836425,8.6681654,3.9019164,3.9006933,0
1761737216,,,,2.6710632,63.562834,48.837986,1.2228072,1.276672,0.81779041,77.753054,0.0077937524,0.0021979542,0.023211331,0.22741398,0.052719063,0.0081374789,0.012310038,0.0041930097,0.00031889014,3.1885436e-06,0.00038024681,33.943306,25.937378,+Inf,177.71688,8.760137,0,0,16.011953,69.867658,8149.9581,1375.6696,9525.6277,0.00017109545,0.00054038232,0.00011540179,100,0,7.3037193,0.029790273,0.059313083,32.093163,20.855099,4.0470076,4.5704282,5.2801644,0,0.11028167,1.6465935,11.238065,10.666401,1.4028227,3.8180875,4.6886404,3.9125919,5.7659921,0.79679994,0.78521208,41.000643,27.580131,12.683834,6.4201515,0.57781355,7.4316334,0.36530316,0.13311462,1.3606971,1.8548262,26.112843,43.384664,12.877473,18.17121,0.071205006,1.5464741,100,-26.561929,2.5736712,23.572774,24.327015,0.10234394,0,6.5261184,13.420512,0.3987131,26.520529,0,16.74538,22.271617,18.366664,0.00036287187,0.01235442,6.7946359,1.5241071,1.4761894,8.6436496,3.9049525,3.8988094,0
1761737221,,,,2.6710819,63.626619,48.880178,1.2166557,1.2756963,0.8219252,78.225143,0.0077005627,0.0021709033,0.023009887,0.22702043,0.052614841,0.0081182881,0.012287328,0.0042009201,0.00031835955,3.149656e-06,0.00038565075,33.925831,25.914537,+Inf,177.95636,8.7624065,0,0,16.569232,69.415493,8089.9714,1346.7771,9436.7485,0.00016674603,0.00054012088,0.00011511799,100,0,7.30361,0.040909022,0.10098619,32.125181,20.888841,4.0487013,4.5345741,5.2577534,0,0.10997169,1.666978,11.23634,10.65603,1.5777538,3.8141042,4.6932091,3.910931,5.7230264,0.79832462,0.78658045,40.985708,27.542312,12.674538,6.4255549,0.58397694,7.4887066,0.35965109,0.13674631,1.3554882,1.8420226,25.997877,43.34157,12.880215,18.344369,0.07139521,1.4697272,100,-29.789284,2.6002916,23.226691,24.350909,0.10241338,0,6.4124713,13.443395,0.39672798,26.427094,0,16.784094,22.251828,18.348819,0.00027457617,0.012356517,6.8169795,1.5483158,1.505195,8.620629,3.9030085,3.90117,0
1761737226,,,,2.6855948,64.602772,48.891998,1.216902,1.2775618,0.82175884,79.84065,0.0076940098,0.0021404127,0.022984832,0.22553021,0.051692249,0.0079777642,0.012216847,0.0041652713,0.00031429804,3.1912235e-06,0.00063511271,33.900357,25.507717,+Inf,179.69173,8.8085054,0,0,17.402979,68.729041,8828.2788,1521.1325,10349.411,0.0003023541,0.00061901678,0.00012115359,100,0,7.3036106,0.047659286,0.078748628,31.836721,20.645303,3.9543782,4.7240535,5.1612056,0,0.1082134,1.671627,11.191418,10.441897,1.8223729,3.7380713,4.6725776,3.8861357,5.8252217,0.80423371,0.75664604,41.234568,28.017091,12.461824,6.9279239,0.54572518,7.2727614,0.35091565,0.13377912,1.3123308,1.8860549,25.590517,43.289735,12.810678,18.134814,0.070566795,2.6769621,100,-22.581682,2.5085285,22.981771,24.63799,0.10360563,0,6.4080092,13.217477,0.38414852,25.678787,0,16.844282,22.197555,18.286064,0.00034250088,0.012406267,6.7119953,1.545556,1.4874279,8.694933,3.911491,3.8749381,0
1761737231,,,,2.6908123,65.005073,48.779275,1.2206496,1.2783463,0.81923593,80.24679,0.0077542456,0.0021307566,0.02288062,0.22462536,0.051750484,0.0080017928,0.012310637,0.0041848264,0.00031465594,3.0773022e-06,0.00069613518,33.932752,25.884656,+Inf,180.29415,8.8200114,0,0,17.224471,68.917879,9005.7918,1569.3726,10575.164,0.0003023862,0.00061590735,0.00012067707,100,0,7.3038933,0.034171589,0.052537386,31.529394,20.450239,3.9707879,4.7213733,5.1242913,0,0.10923896,1.6698413,11.079154,10.487852,1.8066192,3.7382299,4.656431,3.8745259,6.0003859,0.80837574,0.78632512,41.588151,28.362603,12.526937,6.8245535,0.55141282,7.3314293,0.35005824,0.13557906,1.2985074,1.8867683,25.637337,43.233054,12.809071,18.226487,0.069480774,2.7454511,100,-27.970337,2.4583388,22.68178,24.305789,0.10198392,0,6.3982546,13.225547,0.38455334,25.844097,0,16.843576,22.177101,18.301997,0.00041751264,0.012423222,6.7382387,1.5526833,1.4992645,8.6834083,3.8751047,3.8550842,0
1761737236,,,,2.6874407,64.556575,48.692705,1.2379618,1.2799943,0.80777939,78.480211,0.0078684714,0.0021330102,0.023388105,0.22588488,0.052993255,0.0081313039,0.012370693,0.0042276217,0.00031447459,2.9323389e-06,0.00067783198,33.938517,25.197298,+Inf,179.9469,8.8082398,0,0,16.145884,69.817564,8789.7727,1504.4828,10294.255,0.00029983554,0.00062572283,0.00012210618,100,0,7.3037498,0.04068445,0.062140882,31.501532,20.340686,4.0327977,4.7725976,5.1902236,0,0.11218118,1.6127124,11.160846,10.628503,1.4378007,3.7671795,4.6848688,3.9121758,5.6402446,0.8001162,0.78310449,42.013941,28.679168,12.453516,7.0557353,0.56414134,7.3234761,0.34540085,0.13135285,1.3068643,1.8941896,25.571737,43.060301,12.754182,18.397222,0.069998069,2.604343,100,-25.575261,2.4970927,22.738018,24.195105,0.10214706,0,6.4183094,13.334773,0.38776868,25.801768,0,16.698725,22.062434,18.198021,0.00036496094,0.012678217,6.7288429,1.5170144,1.4633843,8.6284412,3.8644136,3.8415981,0
1761737241,,,,2.6765857,64.108213,48.8375,1.2475684,1.2790385,0.80155926,77.022655,0.0079141485,0.0021302026,0.02379482,0.22785721,0.054510693,0.0083280365,0.012542732,0.0042998368,0.00031387121,3.2978576e-06,0.00062083212,33.809646,25.581767,+Inf,178.74731,8.7628506,0,0,15.105877,70.638461,8350.1008,1367.672,9717.7728,0.00030323852,0.0006362904,0.00012439448,100,0,7.3035702,0.037584875,0.040030248,31.287052,20.20661,4.0955206,4.8323397,5.226898,0,0.11380731,1.5793895,11.080441,10.660547,1.0649852,3.7993298,4.6859419,3.8974287,5.4599697,0.79970584,0.77955879,42.35318,28.823148,12.500996,7.0803349,0.57377698,7.3044188,0.34647095,0.13757798,1.3345497,1.913085,26.018928,43.473504,12.844492,18.182108,0.070658674,2.7194438,100,-25.190326,2.5314513,23.05679,24.597951,0.10512345,0,6.414246,13.530032,0.3918941,26.228007,0,16.442039,21.97334,18.081195,0.00028320539,0.013019508,6.7005907,1.485211,1.4469953,8.6442355,3.8921442,3.886597,0
1761737246,,,,2.6810123,64.352749,49.118186,1.245016,1.2801913,0.80320251,77.603086,0.0079318819,0.0021208178,0.023818065,0.22814744,0.054007012,0.0082655514,0.012601683,0.0043525967,0.00032016417,3.0130692e-06,0.00059843298,33.841282,25.226566,+Inf,179.25064,8.7478663,0,0,15.214821,70.628613,8324.4768,1369.6869,9694.1637,0.00029614824,0.00063128967,0.00012376842,100,0,7.3037176,0.042959562,0.071654461,30.905189,20.030541,4.0921362,4.8076128,5.2023354,0,0.11411507,1.587662,10.874648,10.667412,1.0827515,3.7918491,4.6224831,3.9025479,5.682935,0.79806634,0.78282456,42.356948,29.073065,12.510315,7.0095606,0.57702244,7.3654414,0.34391477,0.13715167,1.3317374,1.9043974,26.02114,43.463486,12.84435,18.587994,0.071131057,2.6524385,100,-27.728331,2.5573371,23.055576,24.521996,0.1064032,0,6.4287808,13.283883,0.38979142,26.14166,0,16.398297,22.005975,18.10956,0.00030559278,0.013151066,6.7638047,1.4822729,1.438977,8.6054168,3.8964155,3.8886247,0
1761737251,,,,2.6804034,64.430746,49.194231,1.2398903,1.2771097,0.80652296,78.000626,0.0078601858,0.002117013,0.023756087,0.22821653,0.054368199,0.0083155641,0.012600608,0.0043440089,0.0003170698,3.0309866e-06,0.00059749186,33.811965,24.592044,+Inf,179.65742,8.759137,0,0,15.086462,70.721787,8358.0095,1379.6114,9737.6209,0.0003187195,0.00064770728,0.00012507659,100,0,7.3038373,0.044372239,0.04974375,30.938773,19.951596,4.0812318,4.8138452,5.2057117,0,0.11409303,1.5836574,10.987177,10.681214,1.1185232,3.7775773,4.675153,3.9036444,5.5920003,0.80508925,0.80943583,42.352265,29.03913,12.478212,7.0584959,0.5756426,7.3073752,0.34146309,0.13452982,1.335419,1.9130259,26.061638,43.614374,12.917922,18.617874,0.071736687,2.7702138,100,-26.052518,2.5553498,23.059747,24.537713,0.10679143,0,6.4260734,13.313136,0.38781134,26.018016,0,16.433319,22.018971,18.12435,0.00043292539,0.013214264,6.743282,1.4874028,1.4475552,8.5579953,3.8946207,3.8798834,0
