metric,mean,min,max,stddev
CPU operating frequency (in GHz),2.680038,2.645845,2.703851,0.012568
CPU utilization %,64.252626,61.785209,65.880378,0.865459
CPU utilization % in kernel mode,49.436327,48.478669,50.318363,0.524329
CPI,1.219830,1.202604,1.247568,0.011773
kernel_CPI,1.267217,1.250760,1.280191,0.009062
IPC,0.819862,0.801559,0.831529,0.007849
giga_instructions_per_sec,79.071935,74.121576,82.947665,1.903122
branch misprediction ratio,0.007659,0.007402,0.007932,0.000144
locks retired per instr,0.002135,0.002117,0.002198,0.000017
L1D MPI (includes data+rfo w/ prefetches),0.023748,0.022881,0.024187,0.000375
L1D demand data read hits per instr,0.229355,0.224625,0.230628,0.001769
L1-I code read misses (w/ prefetches) per instr,0.055330,0.051692,0.057634,0.001767
L2 demand data read hits per instr,0.008420,0.007978,0.008710,0.000207
L2 MPI (includes code+data+rfo w/ prefetches),0.012410,0.012217,0.012602,0.000092
L2 demand data read MPI,0.004292,0.004165,0.004368,0.000060
L2 demand code MPI,0.000320,0.000313,0.000328,0.000004
LLC code read MPI (demand+prefetch),0.000003,0.000003,0.000004,0.000000
LLC data read MPI (demand+prefetch),0.000359,0.000246,0.000696,0.000147
Average LLC demand data read miss latency (in ns),33.767113,33.581594,33.943306,0.094285
Average LLC demand data read miss latency for LOCAL requests (in ns),25.586816,24.592044,26.862202,0.375721
Average LLC demand data read miss latency for REMOTE requests (in ns),NaN,NaN,NaN,NaN
package power (watts),180.200454,177.211210,183.661720,1.737701
DRAM power (watts),8.716271,8.669755,8.820011,0.043526
core c6 residency %,0.000000,0.000000,0.000000,0.000000
package c6 residency %,0.000000,0.000000,0.000000,0.000000
% Uops delivered from decoded Icache (DSB),14.440001,12.981048,17.402979,1.265310
% Uops delivered from legacy decode pipeline (MITE),71.442155,68.729041,73.038121,1.238123
memory bandwidth read (MB/sec),7642.205190,7120.055900,9005.791800,565.439989
memory bandwidth write (MB/sec),1230.098677,1084.148500,1569.372600,137.490103
memory bandwidth total (MB/sec),8872.303830,8204.204400,10575.164000,702.130481
ITLB (2nd level) MPI,0.000199,0.000167,0.000319,0.000053
DTLB (2nd level) load MPI,0.000577,0.000540,0.000648,0.000029
DTLB (2nd level) store MPI,0.000119,0.000114,0.000125,0.000003
NUMA %_Reads addressed to local DRAM,100.000000,100.000000,100.000000,0.000000
NUMA %_Reads addressed to remote DRAM,0.000000,0.000000,0.000000,0.000000
uncore frequency GHz,7.305450,7.302882,7.356072,0.009404
IO_bandwidth_disk_or_network_reads (MB/sec),0.040976,0.022492,0.058510,0.008438
IO_bandwidth_disk_or_network_writes (MB/sec),0.546631,0.036400,13.844062,2.470477
TMA_Frontend_Bound(%),32.056706,30.905189,32.419419,0.416387
TMA_..Fetch_Latency(%),20.922904,19.951596,21.201078,0.376831
TMA_....ICache_Misses(%),4.199319,3.954378,4.355326,0.117331
TMA_....ITLB_Misses(%),4.683926,4.534574,4.832340,0.066680
TMA_....Branch_Resteers(%),5.259611,5.124291,5.342022,0.053820
TMA_....MS_Switches(%),0.000000,0.000000,0.000000,0.000000
TMA_....LCP(%),0.121612,0.108213,0.135667,0.008428
TMA_....DSB_Switches(%),1.587425,1.541820,1.671627,0.038330
TMA_..Fetch_Bandwidth(%),11.133802,10.874648,11.334840,0.091562
TMA_....MITE(%),10.961449,10.441897,11.383090,0.274751
TMA_....DSB(%),1.140087,0.952386,1.837100,0.286384
TMA_....MS(%),3.824518,3.738071,3.872744,0.033759
TMA_Bad_Speculation(%),4.661367,4.622483,4.693209,0.024774
TMA_..Branch_Mispredicts(%),3.919670,3.874526,3.940931,0.017181
TMA_....Other_Mispredicts(%),5.510727,5.290058,6.000386,0.167298
TMA_..Machine_Clears(%),0.756769,0.716600,0.808376,0.033356
TMA_....Other_Nukes(%),0.789486,0.756646,0.809436,0.008303
TMA_Backend_Bound(%),41.199508,40.852377,42.356948,0.527555
TMA_..Memory_Bound(%),27.892041,27.421494,29.073065,0.497771
TMA_....L1_Bound(%),12.669063,12.453516,12.792719,0.096379
TMA_......DTLB_Load(%),6.789045,6.403831,7.080335,0.203338
TMA_......Store_Fwd_Blk(%),0.598349,0.545725,0.619976,0.021379
TMA_......L1_Latency_Dependency(%),7.517064,7.272761,7.674149,0.114998
TMA_......Lock_Latency(%),0.347696,0.341463,0.365303,0.005719
TMA_......Split_Loads(%),0.142589,0.131353,0.158539,0.008291
TMA_......FB_Full(%),1.332711,1.290350,1.362070,0.020616
TMA_....L2_Bound(%),1.909256,1.838883,1.978757,0.037127
TMA_....L3_Bound(%),26.253487,25.571737,26.518222,0.284817
TMA_......Contested_Accesses(%),44.207470,42.943240,45.316890,0.731991
TMA_......Data_Sharing(%),12.911885,12.643215,13.128545,0.108581
TMA_......L3_Hit_Latency(%),18.806024,17.748070,19.848796,0.539959
TMA_......SQ_Full(%),0.073297,0.069481,0.076413,0.002066
TMA_....DRAM_Bound(%),1.559180,1.113517,2.770214,0.585343
TMA_......MEM_Bandwidth(%),100.000000,100.000000,100.000000,0.000000
TMA_......MEM_Latency(%),-26.629216,-30.288402,0.000000,1.576585
TMA_....Store_Bound(%),2.579242,2.458339,2.650517,0.047733
TMA_......Store_Latency(%),23.390696,22.681780,23.963115,0.279704
TMA_......False_Sharing(%),24.870169,24.195105,25.262378,0.333107
