TS,SKT,CPU,CID,CPU operating frequency (in GHz),CPU utilization %,CPU utilization % in kernel mode,CPI,kernel_CPI,IPC,giga_instructions_per_sec,branch misprediction ratio,locks retired per instr,L1D MPI (includes data+rfo w/ prefetches),L1D demand data read hits per instr,L1-I code read misses (w/ prefetches) per instr,L2 demand data read hits per instr,L2 MPI (includes code+data+rfo w/ prefetches),L2 demand data read MPI,L2 demand code MPI,LLC code read MPI (demand+prefetch),LLC data read MPI (demand+prefetch),Average LLC demand data read miss latency (in ns),Average LLC demand data read miss latency for LOCAL requests (in ns),Average LLC demand data read miss latency for REMOTE requests (in ns),package power (watts),DRAM power (watts),core c6 residency %,package c6 residency %,% Uops delivered from decoded Icache (DSB),% Uops delivered from legacy decode pipeline (MITE),memory bandwidth read (MB/sec),memory bandwidth write (MB/sec),memory bandwidth total (MB/sec),ITLB (2nd level) MPI,DTLB (2nd level) load MPI,DTLB (2nd level) store MPI,NUMA %_Reads addressed to local DRAM,NUMA %_Reads addressed to remote DRAM,uncore frequency GHz,IO_bandwidth_disk_or_network_reads (MB/sec),IO_bandwidth_disk_or_network_writes (MB/sec),TMA_Frontend_Bound(%),TMA_..Fetch_Latency(%),TMA_....ICache_Misses(%),TMA_....ITLB_Misses(%),TMA_....Branch_Resteers(%),TMA_....MS_Switches(%),TMA_....LCP(%),TMA_....DSB_Switches(%),TMA_..Fetch_Bandwidth(%),TMA_....MITE(%),TMA_....DSB(%),TMA_....MS(%),TMA_Bad_Speculation(%),TMA_..Branch_Mispredicts(%),TMA_....Other_Mispredicts(%),TMA_..Machine_Clears(%),TMA_....Other_Nukes(%),TMA_Backend_Bound(%),TMA_..Memory_Bound(%),TMA_....L1_Bound(%),TMA_......DTLB_Load(%),TMA_......Store_Fwd_Blk(%),TMA_......L1_Latency_Dependency(%),TMA_......Lock_Latency(%),TMA_......Split_Loads(%),TMA_......FB_Full(%),TMA_....L2_Bound(%),TMA_....L3_Bound(%),TMA_......Contested_Accesses(%),TMA_......Data_Sharing(%),TMA_......L3_Hit_Latency(%),TMA_......SQ_Full(%),TMA_....DRAM_Bound(%),TMA_......MEM_Bandwidth(%),TMA_......MEM_Latency(%),TMA_....Store_Bound(%),TMA_......Store_Latency(%),TMA_......False_Sharing(%),TMA_......Split_Stores(%),TMA_......Streaming_Stores(%),TMA_......DTLB_Store(%),TMA_..Core_Bound(%),TMA_....Divider(%),TMA_....Serializing_Operation(%),TMA_....AMX_Busy(%),TMA_....Ports_Utilization(%),TMA_Retiring(%),TMA_..Light_Operations(%),TMA_....FP_Arith(%),TMA_....Int_Operations(%),TMA_....Memory_Operations(%),TMA_....Fused_Instructions(%),TMA_....Non_Fused_Branches(%),TMA_....Other_Light_Ops(%),TMA_..Heavy_Operations(%),TMA_....Few_Uops_Instructions(%),TMA_....Microcode_Sequencer(%)
1761734949,,,,2.3998744,198.66791,13.654821,0.61932995,1.0597353,1.6146482,431.10413,0.023000074,0.00018188032,0.022646343,0.24176604,0.013593054,0.0084618608,0.0035413484,0.00043978126,0.00023358064,1.1061868e-05,0.00257917,17.568727,13.84388,+Inf,382.35312,29.582539,0.056031922,0,55.502283,43.509969,77185.248,23922.69,101107.94,1.6975444e-05,5.7113429e-05,5.3503898e-05,100,0,11.987637,1322.0143,47.303821,22.799931,12.537075,2.2160671,0.69667035,3.7488205,0,0.24526064,4.0757976,10.262856,11.858543,5.0657434,0.6048325,9.834133,9.0675227,6.9938433,1.1403381,1.0923306,12.198243,5.6594457,10.950348,14.246464,1.3068594,15.38653,0.03444744,4.5590235,2.1912181,2.3306597,2.2929456,0.92245179,0.25476716,2.3177566,0.5361982,4.9847359,100,-25.40813,1.6717739,10.831182,0.76718761,0.22407789,0.0011067287,10.817216,6.538797,0.57599084,0.74436594,0,39.718655,54.227323,50.033383,0.032550514,7.3369408,17.249902,2.9304838,1.4265972,19.962648,4.1939395,4.3578921,0
1761734960,,,,2.3747837,85.13118,5.8928135,0.62966997,1.0903174,1.5881336,179.7992,0.021542493,0.00016564591,0.02373905,0.23771025,0.012981591,0.0086912762,0.0040128179,0.00047388059,0.00024786801,1.239055e-05,0.0027796226,41.753116,31.581642,+Inf,180.30575,14.335201,0.0048310211,0,57.582913,41.304979,36252.482,11246.768,47499.25,1.6149409e-05,5.9429926e-05,6.3931537e-05,100,0,5.0674704,689.72325,23.10036,22.883325,13.003099,2.1401604,0.70182917,3.4667052,0,0.24096489,3.9910142,9.8802261,11.895843,4.9851596,0.64847281,9.4860057,8.2547875,6.5113498,1.2647912,1.2232926,13.212134,6.3375422,10.848032,14.275902,1.2747263,15.148698,0.028395643,5.014804,2.2124976,2.2750862,2.1460372,1.0827188,0.20362637,2.2459981,0.67534676,5.9310648,100,-24.043583,1.8703579,11.828775,0.69942164,0.23382456,0.00048855931,10.876899,6.8745913,0.68380179,0.68623378,0,39.273758,54.006582,49.381395,0.039707102,8.239937,17.10745,2.990443,1.4178751,19.975103,4.6251865,4.5070286,0
1761734968,,,,2.3826423,106.93896,5.7067623,0.63465306,1.2152473,1.575664,224.82596,0.020638147,0.00012354252,0.025173167,0.23200827,0.013461938,0.0095423922,0.0039261148,0.00047314118,0.0002793977,8.8128834e-06,0.0025111436,40.810859,31.130097,+Inf,185.04492,15.003849,0.018209095,0,52.164334,46.886002,38950.194,11770.636,50720.829,1.8839058e-05,5.9774857e-05,5.3077083e-05,100,0,5.1870907,313.23401,10.792253,23.512025,13.235238,2.2079345,0.71948249,3.5529747,0,0.24644418,3.9814692,10.276788,12.364985,4.8667189,0.57985476,8.97415,7.6961455,6.0571516,1.2745926,1.0541523,14.98778,7.56836,10.653372,14.691731,1.3023566,14.541832,0.01955012,6.1080601,2.524108,2.5278053,1.8132881,0.60101946,0.22047618,2.3168731,0.69344858,5.9274553,100,-24.688566,1.8307091,12.133895,0.29946949,0.22981794,0.00050492589,11.224236,7.4194205,0.6202368,0.90029321,0,40.069124,53.038381,48.435644,0.042896568,8.2651134,16.525618,2.8967851,1.3562666,19.401535,4.6027368,4.6577675,0
1761734978,,,,2.4167658,81.837953,4.0403018,0.6262495,1.2204653,1.5968077,176.86014,0.019433259,0.00012713266,0.025374488,0.23099543,0.012571006,0.0094970275,0.003991938,0.00048943708,0.00023937552,1.1398171e-05,0.0031154209,41.194217,31.350445,+Inf,183.58443,14.62622,0.13863936,0,55.847726,43.299361,38010.336,10886.245,48896.581,1.6904266e-05,5.9435378e-05,5.1655833e-05,100,0,5.1529844,63.226601,9.8521553,23.039692,12.983921,2.104282,0.65965919,3.3059695,0,0.2326776,3.8143648,10.055771,11.404571,5.0007437,0.49719796,8.8194139,7.3929872,6.2929575,1.3439448,1.0818808,14.621687,7.3138637,10.791538,14.897267,1.3947433,14.781397,0.019269065,5.035206,2.2331828,2.3684558,1.7884039,0.36401772,0.17327098,2.2769646,0.70864233,5.7481244,100,-22.857289,1.8133053,10.841144,0.28432915,0.25906345,0.0012168686,10.874733,7.3078228,0.6367972,0.84907881,0,39.884449,53.959108,49.17168,0.048640413,8.0192069,16.579396,2.8552239,1.3564105,21.174301,4.7874277,5.053428,0
1761734984,,,,2.4167932,110.48577,4.5133056,0.62634947,1.4646048,1.5965528,238.73559,0.022043724,8.5090103e-05,0.024749107,0.23003933,0.014161617,0.0093187079,0.0036034549,0.00046105133,0.00023013198,7.178594e-06,0.0021250893,39.737474,30.798695,+Inf,190.39021,14.364841,0.22060756,0,51.262258,47.840153,34574.363,9603.7632,44178.126,1.8956962e-05,6.1005222e-05,5.2395222e-05,100,0,5.3296375,0.050100138,4.0246183,23.566291,12.989575,2.1257173,0.73720709,3.696149,0,0.29749387,4.2034377,10.576716,12.877515,4.661622,0.56499155,9.2777637,8.082683,6.3305974,1.207165,1.0773892,13.871469,7.1113727,10.849068,14.868016,1.3773899,14.927052,0.014928424,4.9279489,2.1583323,2.4372666,2.5480294,0.32556478,0.096875712,1.9446793,0.60542072,5.2908284,100,-26.586862,1.6919438,10.75211,0.39482423,0.24996143,0.00063244159,10.767077,6.7600961,0.7425802,0.40217793,0,39.475588,53.577704,48.861249,0.04999566,8.0804914,16.914774,2.8933985,1.3746567,18.9685,4.7164547,5.0110672,0
1761734991,,,,2.4064332,82.600822,1.7887068,0.61828512,0.99564073,1.6173768,180.0352,0.023721906,6.8305043e-05,0.02426048,0.23629025,0.014238116,0.0090540187,0.0033810254,0.00043117868,0.00023113206,8.2296856e-06,0.0025257653,40.873559,31.752402,+Inf,180.74324,13.496572,0.20074033,0,52.464354,46.668945,32024.907,8918.6438,40943.551,1.6901969e-05,5.6978077e-05,4.1355338e-05,100,0,5.1346315,0.042627328,2.2093703,24.071322,12.891422,2.1373044,0.7062924,3.7336006,0,0.28201513,4.0678554,11.1799,13.246274,4.7608036,0.44444142,9.0644808,8.3516412,6.7434718,1.1678983,1.015056,11.350012,5.1106458,10.928277,14.751185,1.3521188,14.953601,0.012513288,4.6223307,1.8862325,2.3998491,2.1103429,0.60809126,0.10693992,2.0491768,0.57979103,4.6549752,100,-24.842823,1.6672552,10.926613,0.57405964,0.23585223,0,11.172145,6.2393664,0.58734735,0.68684451,0,39.395585,54.702867,49.725381,0.057072345,8.074522,16.849077,2.9699339,1.396001,20.444173,4.977486,4.5529405,0
1761734998,,,,2.4110003,112.6831,5.2975633,0.6217845,1.2438605,1.6082742,244.68323,0.022779374,0.00011716921,0.023263604,0.23552528,0.014957402,0.0088839657,0.0032954581,0.00037928251,0.00022126395,6.7691861e-06,0.0018711904,40.494239,30.897313,+Inf,183.49221,13.693009,0.041295465,0,52.691465,46.450638,32584.779,9212.0914,41796.871,1.6661571e-05,5.6359365e-05,4.4971313e-05,100,0,5.169645,0.04156941,2.8583198,23.548803,12.779809,2.2647202,0.71409805,4.0143008,0,0.28242118,4.2229316,10.768994,12.564711,5.0320957,0.53125026,9.9919487,8.632069,7.1710605,1.2222496,1.1509062,12.199555,6.8636735,10.783002,15.388236,1.2028696,15.039187,0.017916117,5.1409791,1.9663986,2.303499,2.0803015,0.34846947,0.1791645,2.0901097,0.54158899,5.480782,100,-24.475427,1.5362806,10.262934,0.25227473,0.25311974,0.00064818365,11.526123,5.3358819,0.60951453,0.49296442,0,40.633617,54.402909,49.323601,0.044860911,8.2261838,16.686673,2.9306747,1.3828005,20.986803,5.0793073,4.7895179,0
1761735005,,,,2.4006134,94.160585,2.6066008,0.61700678,1.0482461,1.6207277,205.15848,0.022266893,8.1973876e-05,0.024072543,0.23418375,0.013509651,0.0090570108,0.0035523623,0.00041316844,0.0002072821,8.1311873e-06,0.0026206917,35.985909,27.730951,+Inf,207.76262,15.656317,0.10339864,0,54.005943,45.18225,37967.629,10372.378,48340.006,1.500557e-05,5.4204316e-05,4.8704642e-05,100,0,5.8398228,0.062842651,9.6295693,23.274501,12.749042,2.1490299,0.68919512,3.7424587,0,0.26262727,4.0947371,10.52546,12.738626,5.0266153,0.57927162,10.03971,8.6032166,6.9552516,1.5116943,0.98216636,11.910309,6.3777732,11.132548,15.504367,1.3029301,14.969618,0.017228581,4.6169868,2.0288244,2.4162688,1.7418711,0.12607059,0.095017706,2.0461591,0.55166061,4.9229004,100,-26.768466,1.6081829,10.409174,0.22191265,0.23487889,0,11.331918,5.5325358,0.68941907,0.41751741,0,40.650496,55.396637,50.479685,0.039715284,8.2098457,17.025206,2.9656463,1.427615,21.149523,4.9169513,4.6013878,0
1761735011,,,,2.4345457,88.770499,3.7063361,0.62238636,1.4217172,1.606719,194.45295,0.02363727,9.3868363e-05,0.022946144,0.23906776,0.014595677,0.0091698861,0.0035243717,0.00043302765,0.00023331217,7.4042303e-06,0.0020541547,47.250121,37.383552,+Inf,156.5879,11.813333,0.24338001,0,52.818445,46.286776,28327.442,8065.9296,36393.371,1.6588551e-05,6.4501613e-05,5.7639224e-05,100,0,4.4538007,0.35114751,4.6647046,23.696802,12.750605,2.0704008,0.72193174,3.9332697,0,0.28257038,4.178784,10.946197,13.40847,4.8327727,0.46920896,9.6618758,8.7362363,6.7817253,1.1486163,0.990858,12.952897,7.1257631,10.846457,14.762492,1.268804,15.088471,0.025117989,4.9998744,2.0190573,2.3343248,1.7990888,0.72614813,0.17934581,2.1278558,0.56464144,5.2143378,100,-26.957243,1.5022992,10.734613,0.54039924,0.22071297,0.0038525832,11.896717,5.8271335,0.78963957,0.58732696,0,38.89043,53.306314,48.846809,0.04274902,7.5802773,17.016419,2.912671,1.4228422,16.386416,4.4595049,4.4770139,0
1761735018,,,,2.3788124,120.22834,7.6507433,0.63243095,1.1686556,1.5812003,253.24562,0.022455057,0.00016012376,0.024680862,0.23404525,0.013301674,0.0089227236,0.0039941535,0.00046578872,0.00023930605,7.4532043e-06,0.0019398581,40.55907,29.857176,+Inf,184.51736,14.200385,0.011998087,0,55.228871,43.960805,35401.635,10128.289,45529.924,1.6630964e-05,5.8596856e-05,5.8851142e-05,100,0,5.1725656,0.44702095,6.1946684,22.891309,12.796821,2.1033322,0.67217582,3.6016594,0,0.22483123,3.9524418,10.094487,11.809206,5.0413853,0.70894797,9.7128726,8.8161431,6.9277161,1.256893,1.180858,13.156492,6.4379325,11.057425,14.583709,1.3647284,15.059143,0.025649428,5.0394069,2.2842939,2.46653,1.9540346,0.95426495,0.21048692,2.2072544,0.65005117,5.1089127,100,-25.013796,1.7300916,11.402257,0.6223415,0.24284072,0.00058992584,11.088167,6.71856,0.65766489,0.81709467,0,39.514995,53.430481,48.829912,0.046031303,7.6174565,16.833138,2.9634125,1.4014491,20.408888,4.600569,4.502443,0
