metric,mean,min,max,stddev
CPU operating frequency (in GHz),2.395479,2.331068,2.434546,0.024089
CPU utilization %,102.739420,81.837953,198.667910,25.151497
CPU utilization % in kernel mode,4.977668,1.788707,13.654821,2.497274
CPI,0.628868,0.617007,0.645278,0.007237
kernel_CPI,1.233888,0.995641,1.580781,0.148692
IPC,1.590368,1.549720,1.620728,0.018255
giga_instructions_per_sec,219.353665,168.182240,431.104130,55.037563
branch misprediction ratio,0.021603,0.017563,0.023722,0.001518
locks retired per instr,0.000117,0.000051,0.000193,0.000039
L1D MPI (includes data+rfo w/ prefetches),0.025148,0.022646,0.028028,0.001406
L1D demand data read hits per instr,0.231796,0.221746,0.241766,0.004697
L1-I code read misses (w/ prefetches) per instr,0.013559,0.012291,0.014965,0.000747
L2 demand data read hits per instr,0.009394,0.008462,0.010481,0.000489
L2 MPI (includes code+data+rfo w/ prefetches),0.003775,0.003295,0.004232,0.000292
L2 demand data read MPI,0.000454,0.000379,0.000521,0.000037
L2 demand code MPI,0.000242,0.000207,0.000279,0.000019
LLC code read MPI (demand+prefetch),0.000009,0.000007,0.000012,0.000002
LLC data read MPI (demand+prefetch),0.002529,0.001871,0.003454,0.000463
Average LLC demand data read miss latency (in ns),39.811500,17.568727,47.250121,5.579536
Average LLC demand data read miss latency for LOCAL requests (in ns),30.474630,13.843880,37.383552,4.257153
Average LLC demand data read miss latency for REMOTE requests (in ns),NaN,NaN,NaN,NaN
package power (watts),193.775855,156.587900,382.353120,44.435640
DRAM power (watts),15.045899,11.813333,29.582539,3.471407
core c6 residency %,0.122207,0.004831,0.370311,0.105807
package c6 residency %,0.000000,0.000000,0.000000,0.000000
% Uops delivered from decoded Icache (DSB),54.116080,51.262258,57.582913,1.788180
% Uops delivered from legacy decode pipeline (MITE),44.988615,41.304979,47.840153,1.841796
memory bandwidth read (MB/sec),37891.059550,28327.442000,77185.248000,9650.228712
memory bandwidth write (MB/sec),10860.925465,8065.929600,23922.690000,3196.286431
memory bandwidth total (MB/sec),48751.984900,36393.371000,101107.940000,12834.460719
ITLB (2nd level) MPI,0.000017,0.000015,0.000020,0.000001
DTLB (2nd level) load MPI,0.000061,0.000054,0.000079,0.000005
DTLB (2nd level) store MPI,0.000055,0.000040,0.000074,0.000009
NUMA %_Reads addressed to local DRAM,100.000000,100.000000,100.000000,0.000000
NUMA %_Reads addressed to remote DRAM,0.000000,0.000000,0.000000,0.000000
uncore frequency GHz,5.506512,4.453801,11.987637,1.512455
IO_bandwidth_disk_or_network_reads (MB/sec),119.483683,0.040423,1322.014300,319.376460
IO_bandwidth_disk_or_network_writes (MB/sec),8.160701,1.832375,47.303821,10.123091
TMA_Frontend_Bound(%),23.169422,22.294792,24.071322,0.405533
TMA_..Fetch_Latency(%),12.901410,12.537075,13.235238,0.188999
TMA_....ICache_Misses(%),2.150697,2.070401,2.264720,0.045654
TMA_....ITLB_Misses(%),0.694303,0.647739,0.737207,0.026103
TMA_....Branch_Resteers(%),3.600457,3.135899,4.038243,0.234345
TMA_....MS_Switches(%),0.000000,0.000000,0.000000,0.000000
TMA_....LCP(%),0.254179,0.218408,0.297494,0.024529
TMA_....DSB_Switches(%),4.026410,3.793829,4.222932,0.131690
TMA_..Fetch_Bandwidth(%),10.268012,9.588391,11.179900,0.383247
TMA_....MITE(%),12.216920,11.404571,13.408470,0.567841
TMA_....DSB(%),4.910972,4.661622,5.070375,0.123229
TMA_....MS(%),0.555553,0.438949,0.708948,0.069933
TMA_Bad_Speculation(%),9.374889,8.499495,10.039710,0.402225
TMA_..Branch_Mispredicts(%),8.134787,7.071120,9.067523,0.505915
TMA_....Other_Mispredicts(%),6.684746,6.057152,7.171061,0.266144
TMA_..Machine_Clears(%),1.256532,1.140338,1.511694,0.079023
TMA_....Other_Nukes(%),1.108107,0.936408,1.282072,0.089067
TMA_Backend_Bound(%),13.628620,11.350012,16.131569,1.197142
TMA_..Memory_Bound(%),6.904059,5.110646,8.111562,0.725602
TMA_....L1_Bound(%),10.800087,10.525870,11.132548,0.148780
TMA_......DTLB_Load(%),15.132033,14.246464,15.917836,0.493253
TMA_......Store_Fwd_Blk(%),1.306315,1.192923,1.458369,0.064156
TMA_......L1_Latency_Dependency(%),14.693502,14.060635,15.386530,0.390133
TMA_......Lock_Latency(%),0.021329,0.012513,0.034447,0.006330
TMA_......Split_Loads(%),5.323097,4.524628,6.953555,0.675249
TMA_......FB_Full(%),2.154530,1.771371,2.725327,0.218874
TMA_....L2_Bound(%),2.446476,2.275086,2.596875,0.091310
TMA_....L3_Bound(%),2.110911,1.624200,2.793329,0.330636
TMA_......Contested_Accesses(%),0.566679,0.126071,1.082719,0.261843
TMA_......Data_Sharing(%),0.170862,0.085134,0.259961,0.053041
TMA_......L3_Hit_Latency(%),2.249872,1.944679,2.569454,0.155124
TMA_......SQ_Full(%),0.649580,0.536198,0.790868,0.078235
TMA_....DRAM_Bound(%),5.362448,4.654975,6.439828,0.484602
TMA_......MEM_Bandwidth(%),100.000000,100.000000,100.000000,0.000000
TMA_......MEM_Latency(%),-24.604241,-28.649838,0.000000,2.114106
TMA_....Store_Bound(%),1.729749,1.502299,2.012792,0.133405
TMA_......Store_Latency(%),11.245166,10.262934,12.292245,0.556943
TMA_......False_Sharing(%),0.390626,0.200878,0.767188,0.166343
TMA_......Split_Stores(%),0.243760,0.220713,0.271107,0.012825
TMA_......Streaming_Stores(%),0.000602,0.000000,0.003853,0.000870
TMA_......DTLB_Store(%),11.213535,10.692956,11.896717,0.341436
TMA_..Core_Bound(%),6.724561,5.335882,8.357318,0.664491
TMA_....Divider(%),0.662776,0.523204,0.836886,0.081819
TMA_....Serializing_Operation(%),0.647476,0.379983,0.900293,0.157177
TMA_....AMX_Busy(%),0.000000,0.000000,0.000000,0.000000
TMA_....Ports_Utilization(%),39.723837,38.890430,40.650496,0.471441
TMA_Retiring(%),53.693270,52.301134,55.396637,0.651397
TMA_..Light_Operations(%),48.991710,47.473943,50.479685,0.626830
TMA_....FP_Arith(%),0.043157,0.032551,0.057072,0.006525
TMA_....Int_Operations(%),7.998701,7.178386,8.954932,0.394708
TMA_....Memory_Operations(%),16.658548,15.940644,17.249902,0.356296
TMA_....Fused_Instructions(%),2.890497,2.759835,2.990443,0.062563
TMA_....Non_Fused_Branches(%),1.370295,1.266318,1.427615,0.044751
TMA_....Other_Light_Ops(%),19.788430,16.386416,21.611335,1.291818
TMA_..Heavy_Operations(%),4.701560,4.193939,5.079307,0.207731
TMA_....Few_Uops_Instructions(%),4.714958,4.357892,5.053428,0.190598
TMA_....Microcode_Sequencer(%),0.000000,0.000000,0.000000,0.000000
