Block_Index,Block_Len,Next_Jump_Size
0,2,513780
1,6,3500
2,8,441
3,7,2643084
4,6,10
5,5,224
6,12,268
7,2,16
8,2,13
9,15,19090
10,4,267
11,5,274
12,18,342
13,3,245
14,9,1436
15,11,4208886
16,12,4208913
17,5,296
18,3,235
19,3,229
20,6,425
21,5,1530
22,24,23
23,4,72
24,4,18
25,2,545
26,4,550
27,3,270
28,12,19428
29,24,15
30,1,10
31,10,11
32,7,24932
33,14,1638308
34,8,790413
35,3,2868
36,8,9
37,34,9
38,7,2695
39,2,790408
40,9,1638274
41,37,2428843
42,4,790640
43,3,790951
44,19,1142880
45,5,1310908
46,6,10
47,7,16
48,2,13
49,5,11
50,7,19090
51,4,267
52,5,274
53,18,342
54,3,245
55,9,1436
56,11,4208886
57,12,4208913
58,5,296
59,3,235
60,3,229
61,6,425
62,5,1530
63,24,23
64,4,72
65,4,18
66,2,545
67,4,550
68,3,270
69,12,19428
70,24,15
71,1,10
72,10,11
73,7,24932
74,14,1638308
75,8,790413
76,3,2868
77,8,9
78,34,9
79,7,2695
80,2,790408
81,9,1638274
82,37,2428843
83,4,790640
84,3,790951
85,19,1142880
86,5,1310908
87,6,10
88,7,16
89,2,13
90,5,11
91,7,19090
92,4,267
93,5,274
94,18,342
95,3,245
96,9,1436
97,11,4208886
98,6,34
99,4,22
100,8,22
101,8,22
102,2,12
103,2,4208913
104,15,132
105,2,302
106,2,9
107,9,644
108,1,145
109,2,9
110,7,1826476
111,11,60
112,6,74
113,11,81
114,2,494364
115,5,494369
116,6,162
117,23,81
118,2,494364
119,5,494369
120,6,162
121,11,60
122,6,74
123,11,81
124,2,494364
125,5,494369
126,6,162
127,23,81
128,2,494364
129,5,494369
130,6,1774190
131,4,1632139
132,8,790413
133,3,2868
134,8,9
135,34,9
136,7,2695
137,2,790408
138,9,1632105
139,2,11760959
140,1,32
141,4,40
142,1,32
143,4,40
144,1,32
145,4,40
146,1,32
147,4,40
148,1,32
149,4,13040856
150,5,10
151,5,400963
152,1,252
153,2,9
154,5,633
155,8,619
156,3,9
157,4,9
158,13,13477622
159,2,9
160,9,898
161,6,14
162,4,13012939
163,2,81
164,9,9
165,7,76
166,8,128
167,6,2164814
168,9,9
169,2,9
170,8,9
171,9,2164901
172,1,4891977
173,9,9
174,3,9
175,4,115
176,2,9
177,9,4892176
178,1,9
179,5,1340056
180,6,9
181,7,968
182,9,9
183,5,9
184,4,629
185,9,4196250
186,1,10
187,9,4196281
188,16,547
189,11,4206627
190,1,10
191,7,4206648
192,3,9
193,9,821
194,5,10
195,13,1340154
196,1,193
197,3,9
198,3,172
199,6,229
200,2,131
201,5,1197362
202,3,9
203,4,31
204,2,1197311
205,2,83
206,1,1196177
207,8,9
208,9,249
209,10,11
210,2,54
211,4,67
212,5,14961
213,7,51
214,2,15032
215,10,162
216,4,9
217,6,1196067
218,1,86
219,1,9
220,10,12975840
221,1,9705
222,5,9699
223,2,46
224,2,3904
225,4,181768
226,1,1877
227,3,1278
228,1,27
229,17,9
230,8,69
231,4,9
232,1,41
233,3,695
234,4,1434
235,35,19
236,1,24
237,5,193633
238,9,193605
239,1,1579
240,4,182150
241,6,3973
242,4,25
243,1,52
244,1,57
245,3,4012
246,3,9
247,1,13
248,1,13662689
249,2,11
250,1,9
251,2,21
252,1,13662644
253,2,13969129
254,8,57062
255,5,57071
256,4,1142472
257,5,3246
258,13,5010329
259,11,5010353
260,3,257
261,4,268
262,5,10
263,10,165
264,2,1076200
265,11,12
266,2,9
267,5,27067
268,19,11790351
269,6,11790364
270,5,11790333
271,6,11790346
272,5,9
273,13,9177
274,12,52
275,3,246
276,4,1672448
277,8,790413
278,3,2868
279,8,9
280,34,9
281,7,2695
282,2,790408
283,9,1672414
284,11,94
285,2,415
286,18,96
287,7,12000
288,9,9
289,4,36
290,5,157
291,4,1684441
292,8,790413
293,3,2868
294,8,9
295,34,9
296,7,2695
297,2,790408
298,9,1684407
299,11,75
300,2,295
301,14,104
302,2,9
303,7,21331
304,19,27267
305,5,1076280
306,3,153
307,5,94
308,6,2996
309,2,1142487
310,3,13969086
311,1,13662542
312,6,11
313,8,262099
314,18,262155
315,4,13662476
316,3,4023
317,4,13
318,1,56
319,3,12975940
320,3,9
321,10,1197362
322,3,9
323,9,10
324,3,14
325,2,1197311
326,3,9
327,10,12975840
328,1,9705
329,5,9699
330,2,46
331,2,4048
332,4,182072
333,1,1717
334,3,1278
335,1,27
336,17,9
337,8,69
338,4,9
339,1,41
340,3,695
341,4,1434
342,35,19
343,1,24
344,5,193633
345,9,193605
346,1,1579
347,4,182150
348,6,3973
349,4,25
350,1,52
351,1,57
352,3,4012
353,3,9
354,1,13
355,1,13662689
356,2,11
357,1,9
358,2,21
359,1,13662644
360,2,13969129
361,8,57062
362,5,57071
363,4,1142472
364,5,3246
365,13,5010329
366,11,5010353
367,3,257
368,4,268
369,5,10
370,10,165
371,2,1076200
372,11,12
373,2,9
374,5,27067
375,19,11790351
376,6,11790364
377,5,11790333
378,6,11790346
379,5,9
380,13,9177
381,12,52
382,3,246
383,4,1672448
384,8,790413
385,3,2868
386,8,9
387,34,9
388,7,2695
389,2,790408
390,9,1672414
391,11,94
392,2,415
393,18,96
394,7,12000
395,9,9
396,4,36
397,5,157
398,4,1684441
399,8,790413
400,3,2868
401,8,9
402,34,9
403,7,2695
404,2,790408
405,9,1684407
406,11,75
407,2,295
408,14,104
409,2,9
410,7,21331
411,19,27267
412,5,1076280
413,3,153
414,5,94
415,6,2996
416,2,1142487
417,3,13969086
418,1,13662542
419,6,11
420,8,262099
421,18,262155
422,4,13662476
423,3,4023
424,4,13
425,1,56
426,3,12975940
427,3,9
428,10,1197362
429,3,9
430,9,10
431,3,14
432,2,1197311
433,3,9
434,10,12975840
435,1,9705
436,5,9699
437,2,46
438,2,4048
439,4,182072
440,1,1717
441,3,1278
442,1,27
443,17,9
444,8,69
445,4,9
446,1,41
447,3,695
448,4,1434
449,35,19
450,1,24
451,5,193633
452,9,193605
453,1,1579
454,4,182150
455,6,3973
456,4,25
457,1,52
458,1,57
459,3,4012
460,3,9
461,1,13
462,1,13662689
463,2,11
464,1,9
465,2,21
466,1,13662644
467,2,13969129
468,8,57062
469,5,57071
470,4,1142472
471,5,3246
472,13,5010329
473,11,5010353
474,3,257
475,4,268
476,5,10
